kode,nama,link_profil,alamat,kabupaten,kota,provinsi
50307294,SMAN 1 SOE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BDBC37E9-19AC-4860-B00B-B9AA741CE235,Jalan Prof Dr.W.Z Yohanes No 33 SoE Soe Kec. Kota Soe Kab. Timor Tengah Selatan Prov. Nusa Tenggara Timur,Kab. Timor Tengah Selatan,,Nusa Tenggara Timur
60102008,SMAN 1 AMBON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C8C345A-8D71-4E48-B706-B9BAB6FDB2AA,JL.RAYA PATTIMURA NO. 28 URITETU Kec. Sirimau Kota Ambon Prov. Maluku,,Kota Ambon,Maluku
69972404,SMAS RIIHATUL JANNAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/32F5DA05-D22B-4438-9D0F-B9BB4B4145BA,Kav. 1 No. 01 Legenda Malaka. Baloi Permai Kec. Batam Kota Kota Batam Prov. Kepulauan Riau,,Kota Batam,Kepulauan Riau
20237997,SMAN 4 TAMBUN SELATAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/962E8035-5B6D-494F-8A12-B9BBE3C7BA69,PERUM GRIYA ASRI 2 BLOK F TAMBUN SELATAN Sumberjaya Kec. Tambun Selatan Kab. Bekasi Prov. Jawa Barat,Kab. Bekasi,,Jawa Barat
60302689,SMA NEGERI 2 MANSOBEN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE1CB763-B35C-4DEB-A378-B9C5AC846248,JL. PENDIDIKAN MANSOBEN Waryesi Kec. Supiori Timur Kab. Supiori Prov. Papua,Kab. Supiori,,Papua
70011524,SMAS INTEGRAL HIDAYATULLAH KONAWE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD769756-2942-43C6-A7D9-B9C6FE308262,JALAN NUSA INDAH NO 200 Toriki Kec. Anggaberi Kab. Konawe Prov. Sulawesi Tenggara,Kab. Konawe,,Sulawesi Tenggara
60301705,SMAN 1 WARSA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9711BE26-D12D-4EAE-9F50-B9D27EFF9313,JL. RAYA WARSA Aman Kec. Warsa Kab. Biak Numfor Prov. Papua,Kab. Biak Numfor,,Papua
50302305,SMAN 1 NITA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E87E00D-5799-4113-81E2-B9D471F85463,JL. NITA-KOTING Tebuk Kec. Nita Kab. Sikka Prov. Nusa Tenggara Timur,Kab. Sikka,,Nusa Tenggara Timur
70043992,SMA PLUS AL ANWARIYAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44690F27-87C8-46B3-890E-B9EE3E6CF99E,Jl. Suropati Tegalgubug Lor Kec. Arjawinangun Kab. Cirebon Prov. Jawa Barat,Kab. Cirebon,,Jawa Barat
70040505,SMA ISLAM TERPADU QORDOVA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13BCD298-F37A-4482-A44F-B9F24759903E,Jl. Rancaekek-Majalaya No. 378 A Rancaekek Wetan Kec. Rancaekek Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
40102590,SMAS KATOLIK ST LAURENTIUS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BFDC107-B292-416C-BF19-B9F79C409947,JL. MAESA NO.6 Tikala Baru Kec. Tikala Kota Manado Prov. Sulawesi Utara,,Kota Manado,Sulawesi Utara
20606298,SMAS AL KHAIRIYAH 1,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/99D442CC-916A-4159-99C9-B9FC8AFD2E27,JL. SUNAN BONANG LINK. PENAUAN KUBANGSAR... Kubangsari Kec. Ciwandan Kota Cilegon Prov. Banten,,Kota Cilegon,Banten
69956708,SMA AL-JUNDIYAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEBF42CC-D9EC-4C7F-9F74-BA0324321395,Kp.Cipayung RT. 04 RW. 006 Warudoyong Kec. Cikalong Kulon Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
10703004,SMAS PGRI ARGA MAKMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A11B2FF-B2C1-4E60-A9CF-BA03C0805ED3,JALAN IR SOEKARNO NO. 69 PRAMUKA Gunung Agung Kec. Arga Makmur Kab. Bengkulu Utara Prov. Bengkulu,Kab. Bengkulu Utara,,Bengkulu
69881035,Sekolah Negeri Khusus Olahraga,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/292E9232-93C1-4D17-B058-BA08590D6280,Jl. Merah Putih Buper Waena Kec. Heram Kota Jayapura Prov. Papua,,Kota Jayapura,Papua
20303235,SMA MUHAMMADIYAH 1 PURBALINGGA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D7D91AF-6F51-4377-992F-BA0B98C2BE26,JL. ALUN - ALUN SELATAN NO. 2 Purbalingga Kidul Kec. Purbalingga Kab. Purbalingga Prov. Jawa Tengah,Kab. Purbalingga,,Jawa Tengah
69981784,SMA BUDI UTOMO BOARDING SCHOOL TARAKAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F80E7AD-08B5-446C-A8BC-BA0C5BE50320,"Jl. Rambutan, RT. II, No. 036, Kampung E... Kampung Empat Kec. Tarakan Timur Kota Tarakan Prov. Kalimantan Utara",,Kota Tarakan,Kalimantan Utara
40203516,SMAS KATOLIK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/282734BD-2BE3-48CD-B298-BA0E67BA1C44,JL. DANAU POSO NO. 23 Ujuna Kec. Palu Barat Kota Palu Prov. Sulawesi Tengah,,Kota Palu,Sulawesi Tengah
10214127,SMA SWASTA METHODIST INDONESIA LUBUK PAKAM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FFD6BEE8-66A2-4354-8733-BA1258D1364D,JL.TEUKU CIK DITIRO NO.34 LUBUK PAKAM Lubuk Pakam Pekan Kec. Lubuk Pakam Kab. Deli Serdang Prov. Sumatera Utara,Kab. Deli Serdang,,Sumatera Utara
69757215,SMAN 1 WAY KHILAU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7B82E42B-8DAB-47E7-9EE2-BA143F21EDF9,JL.RAYA SUKAJAYA Sukajaya Kec. Way Khilau Kab. Pesawaran Prov. Lampung,Kab. Pesawaran,,Lampung
20246451,SMAS MUHAMMADIYAH SLIYEG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/794ED174-FC59-417B-BDA6-BA2BA812245D,JL. SILIWANGI NO. 62 Sliyeglor Kec. Sliyeg Kab. Indramayu Prov. Jawa Barat,Kab. Indramayu,,Jawa Barat
69861087,SMA YPK TIMIKA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2AF4CAB-BB41-4296-ADB9-BA2BCBCD2BC6,JL.SHOP.  GORONG-GORONG Kebun Sirih Kec. Mimika Baru Kab. Mimika Prov. Papua Tengah,Kab. Mimika,,Papua Tengah
20233659,SMAS PGRI 2 SUBANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FF03725C-7759-4D3C-965F-BA2E846F6DCB,JL. ARIEF RAHMAN HAKIM SUBANG NO.2 Cigadung Kec. Subang Kab. Subang Prov. Jawa Barat,Kab. Subang,,Jawa Barat
10310619,SMAS AL HIRA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EDD0B6A1-0FB0-443B-944C-BA33B40A3A7F,JL. RAYA PADANG PANJANG-BUKITTINGGI KM 8 AIE ANGEK Kec. X Koto Kab. Tanah Datar Prov. Sumatera Barat,Kab. Tanah Datar,,Sumatera Barat
40200246,SMAN 2 BANGGAI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4491453-82D6-4B1C-992E-BA34790D743A,JL. PADANG RAYA NO. 1 Lompio Kec. Banggai Kab. Banggai Laut Prov. Sulawesi Tengah,Kab. Banggai Laut,,Sulawesi Tengah
20321434,SMA ISLAM SUDIRMAN TEMBARAK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/227B7748-6F39-4C58-B4BD-BA36C63C3DF1,JL. KESEHATAN 0.2 Menggoro Kec. Tembarak Kab. Temanggung Prov. Jawa Tengah,Kab. Temanggung,,Jawa Tengah
69873971,SMA SABILUL MUTTAQIEN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81A816AC-6E6D-4158-A9BC-BA3ACC38AB8E,Dusun Bajo sadulang Kec. Sapeken Kab. Sumenep Prov. Jawa Timur,Kab. Sumenep,,Jawa Timur
20403214,SMAS BHINNEKA TUNGGAL IKA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA351A0B-1851-4E98-839F-BA42FF0E5CA2,JL. PONCOWINATAN 16 YOGYA Cokrodiningratan Kec. Jetis Kota Yogyakarta Prov. D.I. Yogyakarta,,Kota Yogyakarta,D.I. Yogyakarta
10300301,SMA NEGERI 1 MATUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E98BF3B-4E40-4048-B4A4-BA45D462D5BE,JL. MATUR-PALEMBAYAN LAWANG Kec. Matur Kab. Agam Prov. Sumatera Barat,Kab. Agam,,Sumatera Barat
70047727,SMA Negeri 1 Gunung Sitember,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B29727DF-D44F-440C-AEBA-BA463AC9AAC4,Desa Gunung Sitember Gunung Sitember Kec. Gunung Stember Kab. Dairi Prov. Sumatera Utara,Kab. Dairi,,Sumatera Utara
69947958,SMA Swasta Taman Siswa Kodi Bangedo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/888CE608-D40B-412F-A948-BA4A22AD0B72,Wewek Umbu Ngedo Kec. Kodi Bangedo Kab. Sumba Barat Daya Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,,Nusa Tenggara Timur
60401876,SMA NEGERI 1 RAJA AMPAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5343772D-0538-410D-8443-BA5555240C2E,JL. FRANS KAISEPO Sapordanco Kec. Kota Waisai Kab. Raja Ampat Prov. Papua Barat Daya,Kab. Raja Ampat,,Papua Barat Daya
69948400,SMA NUSA BANGSA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C61787DF-9F05-4DE5-A161-BA55C7E9AC62,Kp. Pasirpogor RT 02 RW 06 Banjarwangi Kec. Banjarwangi Kab. Garut Prov. Jawa Barat,Kab. Garut,,Jawa Barat
69899492,SMA NEGERI 1 FEF,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7983E216-A9BD-40D0-B9D0-BA5A4852C5FE,JL WAREF AYIA KAMPUNG WAYO Wayo Kec. Fef Kab. Tambrauw Prov. Papua Barat Daya,Kab. Tambrauw,,Papua Barat Daya
20324213,SMA NEGERI 1 ULUJAMI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9F385F1C-DC7B-47C4-98BB-BA5C0574E793,JALAN AKASIA NO. 07 Pamutih Kec. Ulujami Kab. Pemalang Prov. Jawa Tengah,Kab. Pemalang,,Jawa Tengah
20600451,SMAN 1 PANDEGLANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BDABF2ED-5BCD-46D4-820F-BA657F9B4DF1,JL. RAYA SERANG KM. 3 Cigadung Kec. Karang Tanjung Kab. Pandeglang Prov. Banten,Kab. Pandeglang,,Banten
50302953,SMAS ST FRANSISKUS XAVERIUS BOAWAE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/122B550A-9BB5-49A9-B99C-BA6AA79AF080,JL. BOAWAE SOA Natanage Kec. Boawae Kab. Nagekeo Prov. Nusa Tenggara Timur,Kab. Nagekeo,,Nusa Tenggara Timur
20603344,SMAS ISLAM NURUL HUDA KEDUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DE278E9-9ECD-4AC0-A310-BA6E01F98296,JL. SYECH NAWAWI NO. 2 Kedung Kec. Gunung Kaler Kab. Tangerang Prov. Banten,Kab. Tangerang,,Banten
10202656,SMA SWASTA BUKIT CAHAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2414B310-C12B-4E2A-AB87-BA70AE9F6979,BATU 3 NAGORI BOSAR Nagori Bosar Kec. Panombeian Panei Kab. Simalungun Prov. Sumatera Utara,Kab. Simalungun,,Sumatera Utara
10402731,SMAN 1 UKUI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E49287A-7D0F-447A-B8B0-BA71906F2D08,JL. LINTAS TIMUR UKUI DUA Ukui Dua Kec. Ukui Kab.  Pelalawan Prov. Riau,Kab.  Pelalawan,,Riau
20502673,SMAS MANBAUL ULUM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F016BF28-093F-49F0-9B54-BA7315698F49,Jl. KH Mansyur No. 06 Japanan Kemlagi Japanan Kec. Kemlagi Kab. Mojokerto Prov. Jawa Timur,Kab. Mojokerto,,Jawa Timur
69939495,SMA PGRI KALABAHI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7B097994-7615-4BC2-86C7-BA74F3531AB1,Jl. FLAMBOYAN NO.1 TINGKAT SATU KALABAHI Kalabahi Kota Kec. Teluk Mutiara Kab. Alor Prov. Nusa Tenggara Timur,Kab. Alor,,Nusa Tenggara Timur
70041514,SMA DARUL IBTIDA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4113B97A-D171-44B4-B613-BA7B57E64305,JL. R.E Martadinata KM. 3 Kp. Tanjong NARIMBANG MULIA Kec. Rangkasbitung Kab. Lebak Prov. Banten,Kab. Lebak,,Banten
10502391,SMAN 5 KERINCI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA8F5995-3DC3-409F-898D-BA8265E479DF,Jl. Hamparan Besar Lempur Dusun Baru Lempur Kec. Gunung Raya Kab.  Kerinci Prov. Jambi,Kab.  Kerinci,,Jambi
20214975,SMAS SUNAN GUNUNG JATI TENGAHTANI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/93F50420-E078-4648-A5F7-BA88F7F812EC,JL. DESA BATEMBAT TENGAHTANI Batembat Kec. Tengah Tani Kab. Cirebon Prov. Jawa Barat,Kab. Cirebon,,Jawa Barat
20225278,SMAN 3 BANJAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5C75DA2-6009-4C8B-AB24-BA95FA9220D4,JL. KH Mustofa No. 117 Banjar Kec. Banjar Kota Banjar Prov. Jawa Barat,,Kota Banjar,Jawa Barat
69896933,SMA UNGGUL CUT NYAK DHIEN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D5EB1D8-7600-4DAA-B1E2-BA9F3BFD84E1,JL. PERUMNAS NO. 45 Paya Bujok Seuleumak Kec. Langsa Baro Kota Langsa Prov. Aceh,,Kota Langsa,Aceh
70008990,SMA ISLAM AL AZHAR 22,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54CD4E9D-CC71-460F-ACEF-BAA1A502D006,"Jalan Dr. Cipto Mangunkusumo, Jababeka Simpangan Kec. Cikarang Utara Kab. Bekasi Prov. Jawa Barat",Kab. Bekasi,,Jawa Barat
50102781,SMAN 1 SELAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBEE0E76-58F2-4B2B-872F-BAA97C0C3DA5,BANGBANG BIAUNG KEC. SELAT KAB. KARANGAS... Duda Kec. Selat Kab. Karangasem Prov. Bali,Kab. Karangasem,,Bali
70055247,SMA SUMBARRANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E1A9E9F-D029-4CA5-A615-BAB4D15AFA96,Dusun Sumbarrang Desa Borong Palala Keca... Borong Palala Kec. Pattallassang Kab. Gowa Prov. Sulawesi Selatan,Kab. Gowa,,Sulawesi Selatan
70010191,SMA ISLAM SYARIF IMAMUZZAHIDIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7637B902-76EF-4D67-9BA9-BAC9BF56073B,Dusun Klanjuh Daye Mantang Kec. Batukliang Kab. Lombok Tengah Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,,Nusa Tenggara Barat
10802975,SMAS BHAYANGKARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4E1CA36-7193-4F6A-A9BD-BACAEE0D78AF,JL. PERWAKILAN KOTA BUMI Tanjung Aman Kec. Kotabumi Selatan Kab. Lampung Utara Prov. Lampung,Kab. Lampung Utara,,Lampung
10404984,SMAS BUDI DHARMA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E06C05F-C743-45B1-8EF2-BAD6A3F5CEDD,Jl. Bintan No.63B Sukajadi Kec. Dumai Kota Kota Dumai Prov. Riau,,Kota Dumai,Riau
50309191,SMAN BANAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46BEEDDD-542E-4490-9A78-BAD8D3B6D577,Jalan Ki Hadjar Dewantara No. 03 Ofu Kec. Kolbano Kab. Timor Tengah Selatan Prov. Nusa Tenggara Timur,Kab. Timor Tengah Selatan,,Nusa Tenggara Timur
70027223,SMA MEDINA UMAH CENDEKIA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EBD38CBD-7585-4B86-99CA-BADB5ECDECAB,VILLA TELUK ANGIN JALAN PANTAI DANGAS RT... Tanjung Pinggir Kec. Sekupang Kota Batam Prov. Kepulauan Riau,,Kota Batam,Kepulauan Riau
69948500,SMA Budi Luhur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/699181A5-3B39-4F0E-8006-BAE05E9719E0,Jl. Bugis RT. 2 Kelurahan Mugirejo Kecam... Mugirejo Kec. Sungai Pinang Kota Samarinda Prov. Kalimantan Timur,,Kota Samarinda,Kalimantan Timur
