kode,nama,link_profil,alamat,kabupaten,kota,provinsi
70052060,SMA Swasta Alam Istana Hati,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51829B4F-F93E-4D77-B9D9-FDE9C4B7ADDB,"Jl. Sisingamangaraja Kel. Nangka, Kec. B... Nangka Kec. Binjai Utara Kota Binjai Prov. Sumatera Utara",,Kota Binjai,Sumatera Utara
69822475,SMA NEGERI 9 MALINAU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F9C87866-F572-443E-B5A4-FDEA2273884F,Jl. Sungai Anai RT. III LONG AMPUNG Long Ampung Kec. Kayan Selatan Kab. Malinau Prov. Kalimantan Utara,Kab. Malinau,,Kalimantan Utara
20504498,SMAS PGRI PADANGAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/363B1FB9-03C2-43FF-9B9C-FDEDD4E4A8EB,JL. DR. SUTOMO Padangan Kec. Padangan Kab. Bojonegoro Prov. Jawa Timur,Kab. Bojonegoro,,Jawa Timur
20202254,SMAN 1 PARUNG KUDA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/02D8A47E-43EB-4898-91E7-FDEE01C070D9,JL. RAYA PARUNG KUDA BOJONGKOKOSAN Kec. Parungkuda Kab. Sukabumi Prov. Jawa Barat,Kab. Sukabumi,,Jawa Barat
70027692,SMA SAINS DAARUL QURAN KARANGANYAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/942356E7-DADC-437C-8467-FDF93ADA4FC4,Sanggir RT 002 RW 008 Paulan Kec. Colomadu Kab. Karanganyar Prov. Jawa Tengah,Kab. Karanganyar,,Jawa Tengah
50307939,SMAS ST GREGORIUS REO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9556B97B-0C2A-4149-BC02-FDFDDF741D37,REO Mata Air Kec. Reok Kab. Manggarai Prov. Nusa Tenggara Timur,Kab. Manggarai,,Nusa Tenggara Timur
30401490,SMAN 2 BALIKPAPAN UTARA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EAB9A55E-2396-43A5-8D89-FE00D8302A2B,JL. SOEKARNO HATTA STRAT IV Gunung Samarinda Kec. Balikpapan Utara Kota Balikpapan Prov. Kalimantan Timur,,Kota Balikpapan,Kalimantan Timur
50303810,SMA KRISTEN PAYETI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C300F9C-7882-4099-8BA3-FE0B70949DF1,JL. PROF. DR. W. Z. YOHANES NO.3 WAINGAP... Prailiu Kec. Kambera Kab. Sumba Timur Prov. Nusa Tenggara Timur,Kab. Sumba Timur,,Nusa Tenggara Timur
40100898,SMAN 1 TOMPASO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/639F52F9-A606-4E06-9410-FE0D71CE44EC,JL. KAYU MACIS Liba Kec. Tompaso Kab. Minahasa Prov. Sulawesi Utara,Kab. Minahasa,,Sulawesi Utara
69765058,SMAS IT AS SHOF,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CAAB43D-D6D8-46E7-B6C0-FE156A46587D,JL. RAYA KALIMULYA RT 01/05 KB. DUREN Kalimulya Kec. Cilodong Kota Depok Prov. Jawa Barat,,Kota Depok,Jawa Barat
20525859,SMAN PESANGGARAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7F6B39B-1DE0-49BA-8305-FE18298A49FB,"Jalan Pesanggaran Nomor 50, Desa Sumberm... Sumbermulyo Kec. Pesanggaran Kab. Banyuwangi Prov. Jawa Timur",Kab. Banyuwangi,,Jawa Timur
69983922,SMA ISLAM TERPADU AL-FAQIH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0D45DDB-72C9-4B67-B3D8-FE189141D17E,Kp. Cisitukidul RT012/005 Kalimanggis Ta... Kalimanggis Kec. Manonjaya Kab. Tasikmalaya Prov. Jawa Barat,Kab. Tasikmalaya,,Jawa Barat
20209195,SMAN 15 GARUT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/86882988-DFB5-46ED-8BA2-FE1C48AF5F62,JL. PANAWUAN NO.3A Sukajaya Kec. Tarogong Kidul Kab. Garut Prov. Jawa Barat,Kab. Garut,,Jawa Barat
11002028,SMAN 3 KUNDUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D4A80FAB-5D1A-4B78-93A9-FE1D44DAC90A,JL. BESAR SEI. UNGAR Sungai Ungar Kec. Kundur Kab. Karimun Prov. Kepulauan Riau,Kab. Karimun,,Kepulauan Riau
10110366,SMA NEGERI 1 PEUNARON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0771B5A7-1A9C-4E0D-87DB-FE33688ABE83,Jln. Pendidikan No.2 Gampong Bukit Tiga ... Bukit Tiga Kec. Peunaron Kab. Aceh Timur Prov. Aceh,Kab. Aceh Timur,,Aceh
20107303,SMAS ISLAM HARAPAN IBU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE960FDA-6431-4D5F-AAF2-FE36E024C91D,Jl. H. Banan No. 1 Pondok Pinang Kec. Kebayoran Lama Kota Adm. Jakarta Selatan Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Selatan,D.K.I. Jakarta
50302314,SMAS KATOLIK  ST. JOHN PAUL II MAUMERE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B1B16B7-AB23-425F-B1E6-FE3AD16852F7,JL. ANGGREK NO. 10 Kabor Kec. Alok Kab. Sikka Prov. Nusa Tenggara Timur,Kab. Sikka,,Nusa Tenggara Timur
40310151,SMAS MUHAMMADIYAH WOTU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F961D9F3-FC45-4AE1-AA6A-FE3AE1CEBE07,JL. PAHLAWAN WOTU Bawalipu Kec. Wotu Kab. Luwu Timur Prov. Sulawesi Selatan,Kab. Luwu Timur,,Sulawesi Selatan
20247281,SMAS SUMATRA 40-1,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BD388FC-50B2-48BE-9AD2-FE3CF3927C54,JL. PAHLAWAN NO. 21 Cihaurgeulis Kec. Cibeunying Kaler Kota Bandung Prov. Jawa Barat,,Kota Bandung,Jawa Barat
