kode,nama,link_profil,alamat,kabupaten,kota,provinsi
70048236,SMA IT Unggul Ad Durrah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/346C49EE-DFD1-4893-BEB2-A51BF5B087CA,"Jl. Marelan Pasar 4 Barat, Rengas Pulau Kec. Medan Marelan Kota Medan Prov. Sumatera Utara",,Kota Medan,Sumatera Utara
20521708,SMAN TAMANAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95FA089A-32CE-4A5C-ACDF-A51DB69CD0B8,JL. SUKOWONO  108 TAMANAN Kec. Tamanan Kab. Bondowoso Prov. Jawa Timur,Kab. Bondowoso,,Jawa Timur
20531186,SMA NEGERI 1 KWANYAR BANGKALAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA6CBEEE-7AFC-471C-A2FB-A5204BACBC90,JL. RAYA DLEMER  2 Pasanggrahan Kec. Kwanyar Kab. Bangkalan Prov. Jawa Timur,Kab. Bangkalan,,Jawa Timur
70011015,SMA BETZATA LEILEM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4DBE4FC1-24B6-4685-8C84-A521DCB7A559,DESA LEILEM Leilem Dua Kec. Sonder Kab. Minahasa Prov. Sulawesi Utara,Kab. Minahasa,,Sulawesi Utara
40500745,SMA NEGERI 1 POPAYATO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E982304E-4073-4AD1-BB13-A530B25CE77F,JL. TRANS SULAWESI Bukit Tingki Kec. Popayato Kab. Pohuwato Prov. Gorontalo,Kab. Pohuwato,,Gorontalo
10214162,SMA SWASTA BINA BANGSA TIGA JUHAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F21E21B-A34A-4CBC-8306-A532CA322084,Jl. Pasar Baru No. 36 Tiga Juhar Kec. Sinembah Tnjng Muda Hulu Kab. Deli Serdang Prov. Sumatera Utara,Kab. Deli Serdang,,Sumatera Utara
10211706,SMAS HKBP 1,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0EC3BC0F-74C0-4464-A8D3-A53BFB540E6E,JL. GEREJA NO. 26 Kristen Kec. Siantar Selatan Kota Pematangsiantar Prov. Sumatera Utara,,Kota Pematangsiantar,Sumatera Utara
10405560,SMAS BINA SISWA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D51C7DB2-200A-4E95-B5FD-A543B7B9F84A,Perkebunan Kayangan Dusun Kayangan Balam Jaya Kec. Bagan Sinembah Kab.  Rokan Hilir Prov. Riau,Kab.  Rokan Hilir,,Riau
20401154,SMAS MANDALA BHAKTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C103F6D4-3714-43B6-A963-A54C49590038,Jl. Anggajaya I/3 Condongcatur Condong Catur Kec. Depok Kab. Sleman Prov. D.I. Yogyakarta,Kab. Sleman,,D.I. Yogyakarta
69964390,SMAN 1 KARANG TENGAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9002816B-9D39-4341-9E26-A552893F551D,Jl. Raya Sukasarana Cibalagung Kp. Cinya... Sukasarana Kec. Karang Tengah Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
