kode,nama,link_profil,alamat,kabupaten,kota,provinsi
10200447,SMA SWASTA PEMBANGUNAN GALANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/924C6BE3-C56F-4410-B77C-29E1A37807C0,JL. PETANI LINGKUNGAN VII Galang Kota Kec. Galang Kab. Deli Serdang Prov. Sumatera Utara,Kab. Deli Serdang,,Sumatera Utara
20500455,SMA NAHDLATUL ULAMA 2 GRESIK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/52C80E55-4FB4-4669-BFB3-29E622F64AD3,JL. AKIM KAYAT VII /  NO 49 Sukorame Kec. Gresik Kab. Gresik Prov. Jawa Timur,Kab. Gresik,,Jawa Timur
20214971,SMAN 1 ARJAWINANGUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D53AF0BE-9B0D-4BC7-943F-29E8102972D7,Jl. Sutan Syahrir Arjawinangun Kec. Arjawinangun Kab. Cirebon Prov. Jawa Barat,Kab. Cirebon,,Jawa Barat
50309318,SMAN 1 TASIFETO BARAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FFD82291-23CB-42A9-A63A-29EBDEEE3279,KM 18 JURUSAN KUPANG Bakustulama Kec. Tasifeto Barat Kab. Belu Prov. Nusa Tenggara Timur,Kab. Belu,,Nusa Tenggara Timur
10505960,SMAN 12 TANJUNG JABUNG  BARAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA89E50F-D944-4F7E-BBFB-29EDAF8C7817,JL. LINTAS TIMUR  SUMATERA KM 86 Dusun Mudo Kec. Muara Papalik Kab. Tanjung Jabung Barat Prov. Jambi,Kab. Tanjung Jabung Barat,,Jambi
20501871,SMAS PGRI 1 SIDOARJO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/160F25FA-9DE8-458B-A666-29F2A630F8F1,JL. BALAI DESA RT 04 / RW 02 Kemiri Kec. Sidoarjo Kab. Sidoarjo Prov. Jawa Timur,Kab. Sidoarjo,,Jawa Timur
20303250,SMAS MA ARIF KARANGANYAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A20FB328-5DB4-46EC-A864-29F3DF583FE7,JL. RAYA KARANGANYAR NO. 11 Karanganyar Kec. Karanganyar Kab. Purbalingga Prov. Jawa Tengah,Kab. Purbalingga,,Jawa Tengah
20523816,SMAS DIPONEGORO PANTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1195BC9-A4E5-4FC9-8519-29FBFC0B0D3E,JL. KEPUTREN SUCI Suci Kec. Panti Kab. Jember Prov. Jawa Timur,Kab. Jember,,Jawa Timur
20623132,SMAS ADRIA PRATAMA MULYA RIDING SCHOOL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DBD3E5E7-FC1C-410B-A959-29FD98C066B5,JL. RAYA ARIA WANGSAKARA KP. CIATUY Tapos Kec. Tiga raksa Kab. Tangerang Prov. Banten,Kab. Tangerang,,Banten
10609764,SMA MAARIF LUBUKLINGGAU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0E08A5E-88C1-4934-9993-2A0100003837,JL. Jendral Besar H. M. Soeharto Tanah Periuk Kec. Lubuk Linggau Selatan II Kota Lubuk Linggau Prov. Sumatera Selatan,,Kota Lubuk Linggau,Sumatera Selatan
