kode,nama,link_profil,alamat,kabupaten,kota,provinsi
50307940,SMAS ST MARIA ITENG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B98500CE-87D0-4BC7-B5B4-156E818037B0,ITENG Iteng Kec. Satarmese Kab. Manggarai Prov. Nusa Tenggara Timur,Kab. Manggarai,,Nusa Tenggara Timur
10500274,SMAN 3 BATANG HARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49C358EF-6C81-461F-BA6E-156EA3D49D7C,Jl. Lintas Muara Tembesi - Sarolangun Km... Muara Jangga Kec. Batin XXIV Kab. Batanghari Prov. Jambi,Kab. Batanghari,,Jambi
69727469,SMAN MUTIS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6DAB5C7B-D3C5-49A3-860E-1570D6715CA3,JLN. OENAEK-OEMOFA-NOELELO-MUTIS Naekake A Kec. Mutis Kab. Timor Tengah Utara Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,,Nusa Tenggara Timur
69874080,SMA TERPADU AHLUSSUNNAH WALJAMAAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D1095BC-0E85-4A1E-8959-15731527024A,"Jln. Blang Mancung/Lr.Pesantren, Ds. Keb... Kebun Baru Kec. Wih Pesam Kab. Bener Meriah Prov. Aceh",Kab. Bener Meriah,,Aceh
60726289,SMA BOSOWA AL AZHAR CILEGON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F130A71-4564-4FBD-BD82-158D32EB328E,JL. BOULEVARD BLOK B NO.5 TAMAN CILEGON ... Sukmajaya Kec. Jombang Kota Cilegon Prov. Banten,,Kota Cilegon,Banten
69972510,SMA TUNAS BANGSA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8925FACC-9713-4CFC-AB44-15913C551C92,JL. MONGINSIDI BARU Maricaya Kec. Makasar Kota Makassar Prov. Sulawesi Selatan,,Kota Makassar,Sulawesi Selatan
69932498,SMA KEBERBAKATAN OLAHRAGA BAHTERAMAS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1B46DFA6-DCED-425C-BF61-15917150302E,Jl. Poros Bandara Haluoleo No. 8B Ranome... Ranomeeto Kec. Ranomeeto Kab. Konawe Selatan Prov. Sulawesi Tenggara,Kab. Konawe Selatan,,Sulawesi Tenggara
10809299,SMAN 2 MENGGALA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97872B15-F6AA-438B-8DB7-1592F2CFD433,Jl. Lintas Timur No. 2 Tiuh Toho Menggal... Ujung Gunung Ilir Kec. Menggala Kab. Tulang Bawang Prov. Lampung,Kab. Tulang Bawang,,Lampung
20103213,SMAS BUDI MULIA UTAMA JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE6C497D-FA9F-450A-B3FD-1593FB5D26CD,"RAWA JAYA NO. 35, PONDOK KOPI JAKARTA TI... Pondok Kopi Kec. Duren Sawit Kota Adm. Jakarta Timur Prov. D.K.I. Jakarta",,Kota Adm. Jakarta Timur,D.K.I. Jakarta
40310211,SMAS DIAN HARAPAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0B86E299-5C1E-4C0C-BB70-15950AD67B4E,"JL. GUNUNG AGUNG NO. 201, TANJUNG BUNGA Tanjung Merdeka Kec. Tamalate Kota Makassar Prov. Sulawesi Selatan",,Kota Makassar,Sulawesi Selatan
60726350,SMAS PLUS AL FATIMAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FF49CA36-81EA-4B6C-88FC-15958E11CAC6,JL PONDOK BAMBU NO 1 SUKOREJO Sukorejo Kec. Bojonegoro Kab. Bojonegoro Prov. Jawa Timur,Kab. Bojonegoro,,Jawa Timur
20507725,SMAN 1 DOLOPO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04216266-1B55-4D1A-B5C9-1596EF618C63,JL. SULUK DOLOPO Candimulyo Kec. Dolopo Kab. Madiun Prov. Jawa Timur,Kab. Madiun,,Jawa Timur
10645819,SMA YKPP PENDOPO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95707DBD-C7C1-4E58-BD1D-159BACEE3517,JL. CEMARA NO. 18P KOMPERTA PENDOPO Talang Ubi Utara KEC. TALANG UBI Kab. Penukal Abab Lematang Ilir Prov. Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,,Sumatera Selatan
20501703,SMAN 1 WARU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D227C1C-4343-4AC7-BB3A-159FB4A4816A,JL. BRANTAS BARITO WISMA TROPODO Tropodo Kec. Waru Kab. Sidoarjo Prov. Jawa Timur,Kab. Sidoarjo,,Jawa Timur
10609309,SMAN 1 MESUJI RAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0DEB4FC-05BA-4E05-9378-15A3CB0C0A7E,JL. Mangkubumi Sumbu Sari Kec. Mesuji Raya Kab. Ogan Komering Ilir Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,,Sumatera Selatan
20300626,SMA AL IRSYAD CILACAP,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3292D13C-8950-4128-AE16-15AD99DD77FB,JL. JEND. SUDIRMAN NO. 70 Donan Kec. Cilacap Tengah Kab. Cilacap Prov. Jawa Tengah,Kab. Cilacap,,Jawa Tengah
20517839,SMAS JENDERAL SUDIRMAN KALIPARE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14FD83BB-AA77-419F-A9C8-15BFD2F52757,JL. Jenderal Sudirman No. 31 Kalipare Kalipare Kec. Kalipare Kab. Malang Prov. Jawa Timur,Kab. Malang,,Jawa Timur
10105619,SMA NEGERI 1 LHOKSEUMAWE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B8BDCFF-612A-4D3C-9EC6-15C315185639,JL. DARUSSALAM Kampung Jawa Lama Kec. Banda Sakti Kota Lhokseumawe Prov. Aceh,,Kota Lhokseumawe,Aceh
20402118,SMAN 1 RONGKOP,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A3E507A-51E7-4647-B304-15CD60560EA9,JL. SADENG KM 25 SEMUGIH Semugih Kec. Rongkop Kab. Gunungkidul Prov. D.I. Yogyakarta,Kab. Gunungkidul,,D.I. Yogyakarta
20321973,SMA NEGERI 1 CEPIRING,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22CA6922-B6AC-469D-8274-15D8DAB464F8,JL.SRI AGUNG NO. 57 CEPIRING Cepiring Kec. Cepiring Kab. Kendal Prov. Jawa Tengah,Kab. Kendal,,Jawa Tengah
40601857,UPTD SMAN 1 BARAS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3E534CCC-9488-432D-AE3D-15DCF6D736C2,JL.TRANS SULAWESI Bulu Parigi Kec. Baras Kab. Pasangkayu Prov. Sulawesi Barat,Kab. Pasangkayu,,Sulawesi Barat
30203484,SMAS NUSANTARA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/438C54A4-D076-4CDB-ABEC-15E47B1CB1D5,JL. WAHIDIN SUDIROHUSODO NO. 18 Langkai Kec. Pahandut Kota Palangka Raya Prov. Kalimantan Tengah,,Kota Palangka Raya,Kalimantan Tengah
10495476,SMAN 2 LANGGAM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA7068C3-392B-4694-8FAF-15E4E6C796F6,JL. JENDRAL SUDIRMAN Langkan Kec. Langgam Kab.  Pelalawan Prov. Riau,Kab.  Pelalawan,,Riau
10310795,SMAN 3 PAINAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C700592-E346-40F7-9504-15E5CC333250,JL.RAYA SAGO KOMPLEK ISLAMIC CENTER SAGO... SAGO SALIDO Kec. IV Jurai Kab. Pesisir Selatan Prov. Sumatera Barat,Kab. Pesisir Selatan,,Sumatera Barat
10303449,SMA TAMANSISWA PADANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC530F23-E398-4F57-A926-15E6195BA83F,JL. TAMAN SISWA NO. 9 PADANG Alai Parak Kopi Kec. Padang Utara Kota Padang Prov. Sumatera Barat,,Kota Padang,Sumatera Barat
20520824,SMAS PGRI YOSOWILANGUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3709C1D-A56A-42AD-B3C8-15E7D448BD3B,JL. Barat Pasar Yosowilangun Yosowilangun Lor Kec. Yosowilangun Kab. Lumajang Prov. Jawa Timur,Kab. Lumajang,,Jawa Timur
50219587,SMAS DARUL FALAH AIKMEL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADF258D6-F10F-4A8C-806A-15E82104EFD5,"JL. RAYA  TOYA, KEC. AIKMEL KAB. LOMBOK ... TOYA Kec. Aikmel Kab. Lombok Timur Prov. Nusa Tenggara Barat",Kab. Lombok Timur,,Nusa Tenggara Barat
20252460,SMAN 1 GANTAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/431FF341-A13A-4CD7-BE03-15EB6943E927,"JL. RAYA HAURGEULIS GANTAR KM.6,5 Gantar Kec. Gantar Kab. Indramayu Prov. Jawa Barat",Kab. Indramayu,,Jawa Barat
69896859,SMA TRI DARMA NUSANTARA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/651CCF5F-518A-4864-AECA-15EF39A02DF0,Kp.Gunung Batu RT.02 RW.01 Cinerang Kec. Naringgul Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
70032382,SMA Islam Khodimul Quran,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D5D97F5-BE24-492E-AF63-15F1B1742665,Jl. Pramuka No. 36 Gio Kec. Moutong Kab. Parigi Moutong Prov. Sulawesi Tengah,Kab. Parigi Moutong,,Sulawesi Tengah
50202414,SMAN 1 KERUAK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A363137F-F773-4FAB-BC86-15FBBFA98A66,JL. JURUSAN TANJUNG LUAR - KERUAK MONTONG BELAE Kec. Keruak Kab. Lombok Timur Prov. Nusa Tenggara Barat,Kab. Lombok Timur,,Nusa Tenggara Barat
10703646,SMA NEGERI 8 KAUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5120666-E810-4770-853E-15FDCB6695BA,JL. BENTENG RAYA Ulak Bandung Kec. Muara Sahung Kab. Kaur Prov. Bengkulu,Kab. Kaur,,Bengkulu
