kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20216212,SMAS YSMP CANDRADIMUKA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33B0E094-6BBD-4912-9CF2-4D2B420A382F,Jl. Raya Eretan Wetan Kandanghaur Eretan Wetan Kec. Kandanghaur Kab. Indramayu Prov. Jawa Barat,Kab. Indramayu,,Jawa Barat
10209395,SMAN 1 SIPISPIS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/714A4D89-36A7-451F-BA51-4D3277015BEB,JL. AHMAD YANI Buluh Duri Kec. Sipispis Kab. Serdang Bedagai Prov. Sumatera Utara,Kab. Serdang Bedagai,,Sumatera Utara
30103482,SMAN 3 KETAPANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B8098D0-3247-4C2D-8925-4D3501D51A8B,JL. GATOT SUBROTO NO. 18 KETAPANG Sampit Kec. Delta Pawan Kab. Ketapang Prov. Kalimantan Barat,Kab. Ketapang,,Kalimantan Barat
10500674,SMAN 8 BUNGO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F6BAA1A3-C160-47E5-B6A7-4D3FAE842066,JL. RADEN MATAHER RANTAU PANDAN KM. 02 Rantau Pandan Kec. Rantau Pandan Kab. Bungo Prov. Jambi,Kab. Bungo,,Jambi
69883261,SMA ISLAM UMMU QURO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94EA710B-25A1-44CF-993E-4D4547AAC42C,Jl. Swadaya Sungai Purun Kecil RT 8 RW 4... Sei.Purun Kecil Kec. Sungai Pinyuh Kab. Mempawah Prov. Kalimantan Barat,Kab. Mempawah,,Kalimantan Barat
69961538,SMA KASIH IMMANUEL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F282EAB3-510F-4EA1-A896-4D465E66D248,Jl. Taman Surya V Blok NN5 No 45-48 Rt 0... Pegadungan Kec. Kali Deres Kota Adm. Jakarta Barat Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Barat,D.K.I. Jakarta
69989801,SMA PUTI BUNGSU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDA80848-B06A-4BD0-A9D4-4D47C0F3EBBC,JL. PARAK JAMBU INDAH NO. 21 Dadok Tunggul Hitam Kec. Koto Tangah Kota Padang Prov. Sumatera Barat,,Kota Padang,Sumatera Barat
50203684,SMAN 2 DOMPU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27DA2677-122D-49B1-BE96-4D4821452165,JL.LELE Bali Kec. Dompu Kab. Dompu Prov. Nusa Tenggara Barat,Kab. Dompu,,Nusa Tenggara Barat
69824451,SMA DARUL ULUM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDF28994-FD0B-486C-A626-4D50564CB94F,TAMIDUNG BATANG-BATANG Tamedung Kec. Batang-Batang Kab. Sumenep Prov. Jawa Timur,Kab. Sumenep,,Jawa Timur
20328938,SMA ADVENT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9E4142C-BB23-4232-B264-4D53F1151C02,JL. MT HARYONO NO. 478 Sarirejo Kec. Semarang Timur Kota Semarang Prov. Jawa Tengah,,Kota Semarang,Jawa Tengah
