kode,nama,link_profil,alamat,kabupaten,kota,provinsi
60200949,SMAN 3 TIDORE KEPULAUAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F0AC9A2-F46A-44F5-B69D-5A3EE2C7DCC3,JL. PATTIMURA NO. 1 Gamtufkange Kec. Tidore Kota Tidore Kepulauan Prov. Maluku Utara,,Kota Tidore Kepulauan,Maluku Utara
60729277,SMAN 13 SINJAI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C36988F6-E284-41FC-AE8B-5A4328A78C26,Jl. Andi Paduppa No. 5  Manimpahoi Saotengnga Kec. Sinjai Tengah Kab. Sinjai Prov. Sulawesi Selatan,Kab. Sinjai,,Sulawesi Selatan
69987838,SMA AL-KARIM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9B6A00F1-5D22-4218-AF0C-5A4F3EA961F7,Kampung Gaga RT/RW. 004/001 Onyam Kec. Gunung Kaler Kab. Tangerang Prov. Banten,Kab. Tangerang,,Banten
30202455,SMAN 1 TAMIANG LAYANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1BEE1A27-EE2F-4EAE-97C0-5A5059B7FB53,JL. NANSARUNAI  TAMIANG LAYANG Tamiang Layang Kec. Dusun Timur Kab. Barito Timur Prov. Kalimantan Tengah,Kab. Barito Timur,,Kalimantan Tengah
40313181,SMAN 6 ENREKANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C9BF8AC-5C7D-40F4-8E42-5A55ABE17E64,JL. POROS MALUA KALOSI Malua Kec. Malua Kab. Enrekang Prov. Sulawesi Selatan,Kab. Enrekang,,Sulawesi Selatan
30300702,SMAS PGRI PELAIHARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71972490-D446-4D92-B79F-5A57F191D089,"Jalan A. Syairani, Komplek Perkantoran G... Angsau Kec. Pelaihari Kab. Tanah Laut Prov. Kalimantan Selatan",Kab. Tanah Laut,,Kalimantan Selatan
10644856,SMAS MUHAMMADIYAH 3 PENANGGUNGAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9770387F-1E33-408B-A17D-5A5B5089A553,JL. RAYA DESA PENANGGUNGAN Penanggungan Kec. Runjung Agung Kab. Ogan Komering Ulu Selatan Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,,Sumatera Selatan
70006262,SMAS AVAVA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AAB6A941-218F-4A55-9E69-5A5DA0403CA7,Komplek Nagoya Point No. 1 Nagoya Batam Batu Selicin Kec. Lubuk Baja Kota Batam Prov. Kepulauan Riau,,Kota Batam,Kepulauan Riau
20404177,SMAS SANTO THOMAS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD2340E1-BB63-4AC3-A776-5A692FDDDD7B,JL. TIMOHO BALIREJO UTARA Muja Muju Kec. Umbulharjo Kota Yogyakarta Prov. D.I. Yogyakarta,,Kota Yogyakarta,D.I. Yogyakarta
20500474,SMAN 1 SIDAYU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BBE2E9CE-C7B4-4C25-A222-5A7EE81887BA,JL. PAHLAWAN NO. 6 SIDAYU Ngawen Kec. Sidayu Kab. Gresik Prov. Jawa Timur,Kab. Gresik,,Jawa Timur
20607498,SMAS MALNU PUSAT MENES,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF9DBCFA-927E-4D72-9267-5A852AD90E9B,JL. Menes-Pulosari Kadu Bangkong Desa Pu... Purwaraja Kec. Menes Kab. Pandeglang Prov. Banten,Kab. Pandeglang,,Banten
70013962,SMAS PLUS AL-USTMANIYAH QUEEN AL FALAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC1C81F9-7059-432C-A78C-5A853DEAEA64,Dapur 12 Sei Pelunggut Kec. Sagulung Kota Batam Prov. Kepulauan Riau,,Kota Batam,Kepulauan Riau
20246722,SMAS ANWARUL HIDAYAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2EC94FF5-7319-4329-A546-5A857D3696F7,JL. BUGIS SELATAN PAKISJAYA Tanahbaru Kec. Pakisjaya Kab. Karawang Prov. Jawa Barat,Kab. Karawang,,Jawa Barat
40200719,SMA NEGERI 4 SIGI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B090035A-13DD-4CFE-B9FC-5A8E591FE4D6,JL. PALU BANGGA NO 84 Binangga Kec. Marawola Kab. Sigi Prov. Sulawesi Tengah,Kab. Sigi,,Sulawesi Tengah
10262331,SMA SWASTA AL - AZHAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D44A294B-0602-40C9-A950-5A90E12EB65E,JL. MAWAR NO. 33 SUKARAMAI Suka Ramai Kec. Sei Balai Kab. Batu Bara Prov. Sumatera Utara,Kab. Batu Bara,,Sumatera Utara
70055442,Sekolah Rakyat Menengah Atas 28 Tidore Kepulauan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C604545-14A0-4E94-BFB3-5A9EAACE5FE3,"Desa Akekolano, Kec. Oba Utara. Kota Tid... Akekolano Kec. Oba Utara Kota Tidore Kepulauan Prov. Maluku Utara",,Kota Tidore Kepulauan,Maluku Utara
69878679,SMAS MUHAMMADIYAH 4 PULAU MOROTAI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0223D47A-0DF8-464D-BBD3-5AA4DB2B129B,Jl. Nasional Lintas Morotai Desa Pangeo ... Pangeo Kec. Morotai Jaya Kab. Pulau Morotai Prov. Maluku Utara,Kab. Pulau Morotai,,Maluku Utara
20229185,SMAS YAPAN INDONESIA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3550601-905C-46BC-9E75-5AA50CBB71E4,JL. MUHTAR NO. 50 Sawangan Baru Kec. Sawangan Kota Depok Prov. Jawa Barat,,Kota Depok,Jawa Barat
20227839,SMAS HARAPAN BANGSA BALEENDAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8FD2D201-ACE1-411D-BA3B-5AA51FD58D21,JL. PURADINATA NO. D19 BALEENDAH Baleendah Kec. Baleendah Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
10602525,SMAN 1 BANYUASIN III,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7F61011-BA3F-47EF-A824-5AA6B00B78D8,Jalan Bukit Indah No 72 Kelurahan Pangka... Pangkalan Balai Kec. Banyuasin III Kab. Banyuasin Prov. Sumatera Selatan,Kab. Banyuasin,,Sumatera Selatan
69959168,SMA PANNYANGKALANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7745AA34-28BD-40BD-AE42-5AA935D044E9,DUSUN PABUNDUKANG Panyangkalang Kec. Bajeng Kab. Gowa Prov. Sulawesi Selatan,Kab. Gowa,,Sulawesi Selatan
40103067,SMAS KRISTEN TOUMOUTOU GIRIAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/02B358F0-1134-4059-BFE1-5AA9F616618D,JL. WOLTER MONGINSIDI Girian Atas Kec. Girian Kota Bitung Prov. Sulawesi Utara,,Kota Bitung,Sulawesi Utara
