kode,nama,link_profil,alamat,kabupaten,kota,provinsi
69755339,SMAS AL HAMIDY,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C70FFB3-EED4-45DD-AC29-06DFA00618F6,DUSUN NANGGER Gunung Rancak Kec. Robatal Kab. Sampang Prov. Jawa Timur,Kab. Sampang,,Jawa Timur
70047233,SMA Citra Kasih,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72C88012-2BD2-4159-982E-06EFAAC5AE95,Jl. DI. Panjaitan Perum Citraland Samari... Lempake Kec. Samarinda Utara Kota Samarinda Prov. Kalimantan Timur,,Kota Samarinda,Kalimantan Timur
10601453,SMAN 1 TEBING TINGGI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38C2826A-AB0D-4BC1-9E04-06F31ADB0DFC,JL. PEMBANGUNAN NO.80 Tanjung Kupang Kec. Tebing Tinggi Kab. Empat Lawang Prov. Sumatera Selatan,Kab. Empat Lawang,,Sumatera Selatan
70044647,SMA NUR ILMI NEGLASARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00305BDC-54DE-4222-83A8-06F381F6AB73,Kp. Kubang Legok RT. 03 RW. 04 Neglasari Kec. Cibadak Kab. Sukabumi Prov. Jawa Barat,Kab. Sukabumi,,Jawa Barat
10257680,SMA IT AL HUSNAYAIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B12B51B-6F67-486D-898C-06FA9968C319,Jl. Willem Iskander / Nusantara II Pidoli Dolok Kec. Panyabungan Kab. Mandailing Natal Prov. Sumatera Utara,Kab. Mandailing Natal,,Sumatera Utara
70005193,SMA DAAR EL- ROFA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D53F3CA0-5808-4F96-8CB2-070CD67EFFB6,Jl.Cemplang Kp.Alun-alun RT/RW 006 / 002 Cempaka Kec. Warunggunung Kab. Lebak Prov. Banten,Kab. Lebak,,Banten
20203703,SMAS KARYA BAKTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2014840C-3C47-4DA9-95E9-070EE45BF105,JL. RAYA TOL CITARUM Haurwangi Kec. Haurwangi Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
10810190,SMAN 1 BUMI AGUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3FCBF5BC-B334-4A33-A6AB-07127C83EB4B,JL. PROTOKOL NO.1 PISANG BARU Pisang Baru Kec. Bumi Agung Kab. Way Kanan Prov. Lampung,Kab. Way Kanan,,Lampung
20503623,SMA MADINATUL ULUM TEMBELANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/256419D9-A2AC-47E9-A72C-0716E17E266B,MOJOKRAPAK TEMBELANG Mojokrapak Kec. Tembelang Kab. Jombang Prov. Jawa Timur,Kab. Jombang,,Jawa Timur
69829194,SMAN 2 BANYUASIN I,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA9CF16A-6167-4DA7-988D-0717CA300D60,JALAN INPRES DUSUN II RT 10 Perajen Kec. Banyuasin I Kab. Banyuasin Prov. Sumatera Selatan,Kab. Banyuasin,,Sumatera Selatan
20272074,SMAS MIFTAHUL HUDA AL BARKAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8538103-AE9C-451D-B8C6-071A44365B7D,JL. H. MIHARJA Sukawangi Kec. Sukamakmur Kab. Bogor Prov. Jawa Barat,Kab. Bogor,,Jawa Barat
40313217,SMAN 9 GOWA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/417684FB-A21F-4404-842D-0720077EDE3B,JL.BASO DG. NGAWING Mangalili Kec. Pallangga Kab. Gowa Prov. Sulawesi Selatan,Kab. Gowa,,Sulawesi Selatan
40307800,SMAN 6 PALOPO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EABE1040-DA74-4013-B9AD-0721E5176AFC,JL. PATANG II NO. 61  PALOPO Tomarundung Kec. Wara Barat Kota Palopo Prov. Sulawesi Selatan,,Kota Palopo,Sulawesi Selatan
70012189,SMAS ISLAM LASHARAN JAYA GOWA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/920168CF-293A-446B-BC8D-0731DB7C6108,Jln. Je ne Madingin Jenetallasa Kec. Pallangga Kab. Gowa Prov. Sulawesi Selatan,Kab. Gowa,,Sulawesi Selatan
20605094,SMAN 3 KOTA SERANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4B0C02B-1C52-4983-A581-0735968DC112,JL. TAKTAKAN KM 0.5 SERANG Panggungjati Kec. Taktakan Kota Serang Prov. Banten,,Kota Serang,Banten
20320385,SMA NEGERI 1 BRINGIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5796E485-D74A-49CC-B36C-07451CE86C90,JL. WIBISONO II/3 BRINGIN Kec. Bringin Kab. Semarang Prov. Jawa Tengah,Kab. Semarang,,Jawa Tengah
50307412,SMA FIDES QUAERENS INTELLECTUM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62C98A32-C897-4A52-9D7A-0748773375DD,JL.EL TARI KM.7 SASI Sasi Kec. Kota Kefamenanu Kab. Timor Tengah Utara Prov. Nusa Tenggara Timur,Kab. Timor Tengah Utara,,Nusa Tenggara Timur
69754416,SMAS PLUS AL AMANAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7890CFF4-1B98-460A-BF81-0754B6E1C38F,BALONGSUMBER Sumber Tlaseh Kec. Dander Kab. Bojonegoro Prov. Jawa Timur,Kab. Bojonegoro,,Jawa Timur
30103615,SMAN 1 SIMPANG HULU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08AA8507-5635-413E-B877-0756BA3DE985,JL. PETEBANG - BALAI BERKUAK Botuh Bosi Kec. Simpang Hulu Kab. Ketapang Prov. Kalimantan Barat,Kab. Ketapang,,Kalimantan Barat
50103126,SMA Negeri 2 Denpasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5FBDD85-0D86-43B8-A2AA-075A1CCEEE4C,JL. JENDRAL SUDIRMAN DENPASAR Panjer Kec. Denpasar Selatan Kota Denpasar Prov. Bali,,Kota Denpasar,Bali
50308362,SMAN 2 SANO NGGOANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6C2CBC63-05A8-4AB6-8471-075A8140EB63,WERANG Golo Mbu Kec. Sano Nggoang Kab. Manggarai Barat Prov. Nusa Tenggara Timur,Kab. Manggarai Barat,,Nusa Tenggara Timur
70038056,SMA Islam Nurul Muhibbin,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9E70674D-AE36-4E0A-8E4B-0765B1BFF701,Jl. Air Terjun Bajuin RT. 6 RW. 3 Ketapang Kec. Bajuin Kab. Tanah Laut Prov. Kalimantan Selatan,Kab. Tanah Laut,,Kalimantan Selatan
30300701,SMAN 1 BATI-BATI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E98410F8-C35D-4B37-BCF0-0766A8D2BF02,"JL. A. YANI KM. 33,3 Nusa Indah Kec. Bati-Bati Kab. Tanah Laut Prov. Kalimantan Selatan",Kab. Tanah Laut,,Kalimantan Selatan
69888887,SMAS LENTERA HARAPAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33084684-531A-41F5-9E47-076BAD2B063A,JL. ELANG 1 B BINONG PERMAI Binong Kec. Curug Kab. Tangerang Prov. Banten,Kab. Tangerang,,Banten
20217338,SMAN 1 JATILUHUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF3A5662-0930-4F77-A932-076CF7274784,JL. PRAMUKA NO. 138 RT 11 RW 03 Bunder Kec. Jatiluhur Kab. Purwakarta Prov. Jawa Barat,Kab. Purwakarta,,Jawa Barat
