kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20210764,SMAN 1 CIPATUJAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FA4EEBB5-B510-4979-84F7-AC076A609476,JL. PANTAI SELATAN CIPATUJAH Cipatujah Kec. Cipatujah Kab. Tasikmalaya Prov. Jawa Barat,Kab. Tasikmalaya,,Jawa Barat
50309473,SMAS 7 SEP 99 ATAMBUA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DBBFDAAE-CA0F-454C-9BB9-AC0F6F0C8847,"Jl. Suri Soro - Wekatimun, Kec. Atambua ... Umanen Kec. Atambua Barat Kab. Belu Prov. Nusa Tenggara Timur",Kab. Belu,,Nusa Tenggara Timur
10107925,SMA NEGERI 1 JAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/637F8FB8-FA6A-402D-8900-AC0F963F760B,JL. Teuku Umar Km. 81 Lamno Meunasah Weh Kec. Jaya Kab. Aceh Jaya Prov. Aceh,Kab. Aceh Jaya,,Aceh
10494575,SMAN TUAH KEMUNING,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51F22AD9-1FE0-4022-912D-AC172832FC39,JL. LINTAS TIMUR SELENSEN Selensen Kec. Kemuning Kab. Indragiri Hilir Prov. Riau,Kab. Indragiri Hilir,,Riau
50219460,SMAN 1 PEMENANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6913B671-7353-410F-BD84-AC1DD12CF2B3,JL. RAYA PEMENANG Pemenang Timur Kec. Pemenang Kab. Lombok Utara Prov. Nusa Tenggara Barat,Kab. Lombok Utara,,Nusa Tenggara Barat
20238520,SMAS YP 17,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4CC4CC7-012C-496C-BED4-AC22BA68E457,JL. GUNUNG BATU LOJI NO.144 Loji Kec. Kota Bogor Barat Kota Bogor Prov. Jawa Barat,,Kota Bogor,Jawa Barat
70041490,SMA Swasta Darul Istiqamah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A251755-B0D4-4B7D-854B-AC2B65F229E7,"Jl. Raya Kutacane - Medan Km. 19, Depan ... Amaliah Kec. Bukit Tusam Kab. Aceh Tenggara Prov. Aceh",Kab. Aceh Tenggara,,Aceh
30201431,SMAS MUHAMMADIYAH SAMPIT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA59F422-282A-4A7B-90E7-AC2E9E1107B1,JL.A.YANI NO.44 SAMPIT Mentawa Baru Hulu Kec. Mentawa Baru Ketapang Kab. Kotawaringin Timur Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,,Kalimantan Tengah
30300237,SMAN 1 GAMBUT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F86C1EBB-D44B-4547-861F-AC2F1D42C575,JL. GOTONG ROYONG KM.14.800 Gambut Kec. Gambut Kab. Banjar Prov. Kalimantan Selatan,Kab. Banjar,,Kalimantan Selatan
20107295,SMAS DHARMA KARYA JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9EB920BF-13FB-4BF3-9E68-AC38CFF1FEB2,JL. MELAWAI XII NO. 2 KAV. 207A Melawai Kec. Kebayoran Baru Kota Adm. Jakarta Selatan Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Selatan,D.K.I. Jakarta
