kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20325309,SMA NU HASYIM ASY ARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1BEF8B6-CECD-443B-B2E3-000454C7950C,"JL. RAYA KARANGJATI RT.03/01, TARUB Karangjati Kec. Tarub Kab. Tegal Prov. Jawa Tengah",Kab. Tegal,,Jawa Tengah
69913893,SMA NEGERI 1 WULANDONI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46738CBC-0012-45D6-8C66-000745E989B9,Jl. Trans Wulandoni Wulandoni Kec. Wulandoni Kab. Lembata Prov. Nusa Tenggara Timur,Kab. Lembata,,Nusa Tenggara Timur
20511951,SMA NEGERI 1 PLOSOKLATEN KABUPATEN KEDIRI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E59E8B2D-22FA-4332-B644-0008E88AB38E,DS.KAWEDUSAN PLOSOKLATEN Kawedusan Kec. Plosoklaten Kab. Kediri Prov. Jawa Timur,Kab. Kediri,,Jawa Timur
20532399,SMAS GALUH HANDAYANI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F9F7295-595A-4C42-A4AA-0009B36BCBE1,Manyar Sambongan 85A Kertajaya Kec. Gubeng Kota Surabaya Prov. Jawa Timur,,Kota Surabaya,Jawa Timur
20321976,SMAS THERESIANA WELERI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/932A659F-5D76-4882-A6D7-000F4A074834,JL. TAMTAMA WELERI Penyangkringan Kec. Weleri Kab. Kendal Prov. Jawa Tengah,Kab. Kendal,,Jawa Tengah
40104774,SMAN 1 SIAU BARAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B40CA78F-9DB2-4E1E-8044-001182BC6B36,PANIKI Paniki Kec. Siau Barat Kab. Kep. Siau Tagulandang Biaro Prov. Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,Sulawesi Utara
20252051,SMAS PASUNDAN 1 CIANJUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E01646EC-548A-4187-A350-001518EDAD71,JL. PASUNDAN NO. 31 Sabandar Kec. Karang Tengah Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
69790716,SMA EDUCATION,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7CAB5113-F410-42E8-8314-0017A953983D,Jl. Kulim No 8 Tampan Tampan Kec. Payung Sekaki Kota Pekanbaru Prov. Riau,,Kota Pekanbaru,Riau
20223028,SMAS TAMAN SISWA BEKASI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F30C9354-D8FA-4F94-B9E5-001A1B0968F0,JL. SELECTA RAYA NO. 2 BLOK 6 PERUM BUMI... Pengasinan Kec. Rawalumbu Kota Bekasi Prov. Jawa Barat,,Kota Bekasi,Jawa Barat
10203549,SMA NEGERI 1 SIEMPATNEMPU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/679953EF-1839-43E7-BEC2-001AD5B4EC63,JL. ADIANNANGKA BUNTURAJA Adian Nangka Kec. Siempat Nempu Kab. Dairi Prov. Sumatera Utara,Kab. Dairi,,Sumatera Utara
