kode,nama,link_profil,alamat,kabupaten,kota,provinsi
30305425,SMAN 1 AWAYAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/007BFA68-6154-43C6-AE45-9EC93A402E1D,JL. TUNDAKAN NO. 01 KEC. AWAYAN KAB. BAL... Piyait Kec. Awayan Kab. Balangan Prov. Kalimantan Selatan,Kab. Balangan,,Kalimantan Selatan
69900630,SMA ISLAM ANDALUSIA KEBASEN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F31FDF13-AC56-4D40-82D1-9ED0C9926505,Desa Randegan RT 02 RW 01 Randegan Kec. Kebasen Kab. Banyumas Prov. Jawa Tengah,Kab. Banyumas,,Jawa Tengah
69903526,SMA WIDYA PRATAMA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7BF7977-86CC-410E-B575-9ED566A4507B,"JL. ADISUCIPTO Km.9,4 PARIT BARU Kec. Sungai Raya Kab. Kubu Raya Prov. Kalimantan Barat",Kab. Kubu Raya,,Kalimantan Barat
20341094,SMA NEGERI 1 WATUMALANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C76DE5AD-5581-4E28-96A7-9EDFF9E11428,DESA KURIPAN WATUMALANG Kuripan Kec. Watumalang Kab. Wonosobo Prov. Jawa Tengah,Kab. Wonosobo,,Jawa Tengah
69901284,SMA ISLAM TERPADU AL HUDA WONOGIRI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/884FB2B1-8301-4BF5-BF0D-9EE11A26ED7A,"Jl. Wonogiri - Ngadirojo, KM 3 Bulusulur... Bulusulur Kec. Wonogiri Kab. Wonogiri Prov. Jawa Tengah",Kab. Wonogiri,,Jawa Tengah
50307288,SMAS KRISTEN MANEKTO KUATNANA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4945EDA-6C1B-423A-926E-9EE16C2B02CA,JLN. SOSIAL Tetaf Kec. Kuatnana Kab. Timor Tengah Selatan Prov. Nusa Tenggara Timur,Kab. Timor Tengah Selatan,,Nusa Tenggara Timur
40401535,SMAN 1 POMALAA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C2BD3CC-3DDD-438A-BC3F-9EE33709E84F,JL. SALAK NO. 2 POMALAA Kumoro Kec. Pomalaa Kab. Kolaka Prov. Sulawesi Tenggara,Kab. Kolaka,,Sulawesi Tenggara
69762629,SMAN 1 BUNGURAN TENGAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BE98B884-FC08-4B3E-B068-9EE6311C3924,JL. PELAJAR NO.2 Harapan Jaya Kec. Bunguran Tengah Kab. Natuna Prov. Kepulauan Riau,Kab. Natuna,,Kepulauan Riau
70040223,SMA IT NURUL WASILAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B4AB3C3-B287-4975-A9B3-9EECEC2C9E18,Kp. Kebon Kapas RT.02 RW.17 Waluya Kec. Cicalengka Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
10502388,SMAN 8 KERINCI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35A748B3-E681-4774-B583-9EED2D618E79,PULAU SANGKAR Dusun Baru Pulau Sangkar Kec. Batang Merangin Kab.  Kerinci Prov. Jambi,Kab.  Kerinci,,Jambi
