kode,nama,link_profil,alamat,kabupaten,kota,provinsi
40300292,SMAS MUHAMMADIYAH CAMBA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41AFD897-0C31-4068-B71C-F760EE017030,JL. PENDIDIKAN NO. 4 CAMBA Cempaniga Kec. Camba Kab. Maros Prov. Sulawesi Selatan,Kab. Maros,,Sulawesi Selatan
20312205,SMA KANISIUS BHARATA KARANGANYAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AB2ECF4-DF1B-46F7-A3DA-F761460DF5A8,JL. KAPTEN MULYADI KARANGANYAR Cangakan Kec. Karanganyar Kab. Karanganyar Prov. Jawa Tengah,Kab. Karanganyar,,Jawa Tengah
69822761,SMA NEGERI 1 BATU ATAS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A5A37DD-C5D5-42EC-819D-F7638582C343,Jln. Poros Batuatas Timur Batuatas Timur Kec. Batu Atas Kab. Buton Selatan Prov. Sulawesi Tenggara,Kab. Buton Selatan,,Sulawesi Tenggara
20219251,SMAN 21 BANDUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F7CE972A-6518-4D2E-83D5-F767443414D2,JL. MANJAHLEGA NO. 29 RANCASAWO - CIWAST... Margasari Kec. Buahbatu Kota Bandung Prov. Jawa Barat,,Kota Bandung,Jawa Barat
10258249,SMA NEGERI 1 MANIAMOLO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0A3DCAE-916F-4A3B-B308-F76988DD7294,JL. Arah Desa Samadaya Hilisimaetano Samadaya Hilisimaetano Kec. Maniamolo Kab. Nias Selatan Prov. Sumatera Utara,Kab. Nias Selatan,,Sumatera Utara
10108057,SMA NEGERI 2 DARUL MAKMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA728CEA-E13B-42C0-AF10-F76AE9752F08,SUKAMULIA SEUNEUAM Sukamulia Kec. Darul Makmur Kab. Nagan Raya Prov. Aceh,Kab. Nagan Raya,,Aceh
20623100,SMA IT ADDAWAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/101D16A5-3B5F-4C44-A232-F77296276D86,JL. SILIWANGI PASIR ONA RANGKASBITUNG TI... Rangkasbitung Timur Kec. Rangkasbitung Kab. Lebak Prov. Banten,Kab. Lebak,,Banten
10403424,SMAN 2 DAYUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F26AC91-4A77-4677-8448-F773D296BACB,JL. DATUK LIMA PULUH Dayun Kec. Dayun Kab. Siak Prov. Riau,Kab. Siak,,Riau
69759050,SMAS GIRI NATHA KARANGASEM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30F37244-A270-4E44-8356-F7746856C874,JALAN RAYA NENAS KECICANG Padangkerta Kec. Karangasem Kab. Karangasem Prov. Bali,Kab. Karangasem,,Bali
69985502,SMA SWASTA UMBUL MAS WISESA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1A7BB62-1011-4BFE-A4A0-F7795607C138,Perkebunan Umbul Mas Wisesa Tanjung Mulia Kec. Kampung Rakyat Kab. Labuhanbatu Selatan Prov. Sumatera Utara,Kab. Labuhanbatu Selatan,,Sumatera Utara
70043381,SMA ISLAM SHALAHUDDIN AL-AYYUBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69C71B69-31C9-4084-8FF0-F782F19C96B0,Jln. TGH. Abdul Karim Gersik Utara Gelogor Kec. Kediri Kab. Lombok Barat Prov. Nusa Tenggara Barat,Kab. Lombok Barat,,Nusa Tenggara Barat
