kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20203700,SMAS COKROAMINOTO CIANJUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6A203C9-7030-4E75-AE02-67F90F3B2525,JL. IR. H. JUANDA NO. 1300 Pamoyanan Kec. Cianjur Kab. Cianjur Prov. Jawa Barat,Kab. Cianjur,,Jawa Barat
50303421,SMAS WIDYA BHAKTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ABC2F6D7-B1ED-48B5-A8DB-67F92C0A1EC2,JL. SLAMET RIYADI Watu Kec. Langke Rembong Kab. Manggarai Prov. Nusa Tenggara Timur,Kab. Manggarai,,Nusa Tenggara Timur
69756891,SMAS ISLAM NURUR RIYADLAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7900139D-04EF-4962-B64A-67FD897F7055,DESA ALAS TENGAH Alastengah Kec. Paiton Kab. Probolinggo Prov. Jawa Timur,Kab. Probolinggo,,Jawa Timur
10210855,SMAN 21 MEDAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FA6846B-F27D-4CC5-B9EC-67FFFCF5D0E5,JL. KRAMAT INDAH/SELAMBO UJUNG Medan Tenggara Kec. Medan Denai Kota Medan Prov. Sumatera Utara,,Kota Medan,Sumatera Utara
70003169,SMA MUHAMMADIYAH BOARDING SCHOOL (MBS),https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/442D8108-47FE-4FE2-9048-680238F0C7A7,Jalan Desa Srimulyo Sri Mulyo Kec. Stl Ulu Terawas Kab. Musi Rawas Prov. Sumatera Selatan,Kab. Musi Rawas,,Sumatera Selatan
50309594,SMAS TARUNA MANDIRI FATUBENAO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B3AA4E40-822C-41B6-B55C-68040415951F,Jl. Maromak No. 1 Fatubenao Fatubenao Kec. Kota Atambua Kab. Belu Prov. Nusa Tenggara Timur,Kab. Belu,,Nusa Tenggara Timur
20247180,SMAS DAARUL AMANAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8924D0D1-1700-4160-ADE5-68046D9A17DB,Dusun Andansari  RT 003 RW 003 Singawada Kec. Rajagaluh Kab. Majalengka Prov. Jawa Barat,Kab. Majalengka,,Jawa Barat
20101324,SMAS NOTRE DAME,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C843B5D-7FD3-4E7D-B8C4-6805CF36BE99,"JL. PURI KEMBANG BARAT RAYA, BLOK M KEMBANGAN SELATAN Kec. Kembangan Kota Adm. Jakarta Barat Prov. D.K.I. Jakarta",,Kota Adm. Jakarta Barat,D.K.I. Jakarta
50302957,SMAS KATOLIK THOMAS AQUINO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F1128BA5-975F-4EA1-9EF7-6806A39FF57A,MATALOKO WAE IA Kec. Golewa Kab. Ngada Prov. Nusa Tenggara Timur,Kab. Ngada,,Nusa Tenggara Timur
20539030,SMA NEGERI 4 TUBAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD0A7680-55E7-47F9-8733-680790FEECE6,JL. MONDOKAN NO.1 TUBAN Mondokan Kec. Tuban Kab. Tuban Prov. Jawa Timur,Kab. Tuban,,Jawa Timur
70012855,SMA MAARIF AL-FALAH SUMBER MULYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F8412D48-2946-4928-BF73-680883A3701A,JL. Raya Sumbermulya Sumber Mulya Kec. Pulau Panggung Kab. Tanggamus Prov. Lampung,Kab. Tanggamus,,Lampung
69812061,SMAN KELAS KHUSUS PULAU RUNDUMA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5823BBC-A5D3-4D6F-80F4-681C66226E95,JL. PENDIDIKAN PULAU RUNDUMA Runduma Kec. Tomia Kab. Wakatobi Prov. Sulawesi Tenggara,Kab. Wakatobi,,Sulawesi Tenggara
20573098,SMAS DARUZ ZUBAD,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13BC5FFC-1D78-4356-9F7F-6820537603E9,Jl. Dsn. Mangkon Utara Mangkon Kec. Arosbaya Kab. Bangkalan Prov. Jawa Timur,Kab. Bangkalan,,Jawa Timur
40103189,SMAS PGRI TOMOHON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9DC8B001-2BDE-4056-88F7-682461053959,KOTA TOMOHON Rurukan Kec. Tomohon Timur Kota Tomohon Prov. Sulawesi Utara,,Kota Tomohon,Sulawesi Utara
70052826,SMA IT AN NUR HIDAYAH SIKAPAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7A0C8467-AB51-45D9-B79A-6825449DEBB7,Dusun Sikapaya Minasa Upa Kec. Maros Utara / Bontoa Kab. Maros Prov. Sulawesi Selatan,Kab. Maros,,Sulawesi Selatan
40200738,SMAS YPTB KETONG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2AEE172-1274-40AE-A575-68281B20A93B,DESA KETONG Ketong Kec. Balaesang Tanjung Kab. Donggala Prov. Sulawesi Tengah,Kab. Donggala,,Sulawesi Tengah
20206145,SMAN 1 CIPARAY,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D88C9BE4-3F33-4B7A-ACD5-682CB7C70179,JL. RAYA PACET NO. 188 Pakutandang Kec. Ciparay Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
20251864,SMAS DARUT TAUBAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29ADA62E-9974-4BEF-A847-682F74F17E6C,Komp. SBS JL. Danau Tondano Raya No.1 Bl... Harapan Jaya Kec. Bekasi Utara Kota Bekasi Prov. Jawa Barat,,Kota Bekasi,Jawa Barat
20534124,SMAN 2 MADIUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C3FB2A22-3F54-4160-A739-683692BA4C2E,JL. BILITON 24 MADIUN Madiun Lor Kec. Manguharjo Kota Madiun Prov. Jawa Timur,,Kota Madiun,Jawa Timur
