kode,nama,link_profil,alamat,kabupaten,kota,provinsi
70054703,SMA TAKHASSUS AL-QURAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A56EA748-3FED-4144-B730-6E4DF506574E,"Jln. Raya Sungai Kelik, RT.003,RW.001, D... Sungai Kelik Kec. Nanga Tayap Kab. Ketapang Prov. Kalimantan Barat",Kab. Ketapang,,Kalimantan Barat
10110562,SMA NEGERI 2 MEULABOH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D61E6526-007D-4FAC-AF73-6E5CEE6F72A5,JL. SISINGAMANGARAJA LAPANG Lapang Kec. Johan Pahlawan Kab. Aceh Barat Prov. Aceh,Kab. Aceh Barat,,Aceh
60202426,SMA NEGERI 4 HALMAHERA SELATAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/362D2790-83F2-4DD7-812B-6E5EB3A65F1B,Jl. Trans Halmahera Kebun Raja Kec. Gane Timur Kab. Halmahera Selatan Prov. Maluku Utara,Kab. Halmahera Selatan,,Maluku Utara
10258257,SMA NEGERI 1 AMANDRAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E316B9E2-82DC-406F-AFAC-6E61CA11BD61,DESA TUINDRAO Tuindrao Kec. Amandraya Kab. Nias Selatan Prov. Sumatera Utara,Kab. Nias Selatan,,Sumatera Utara
30102950,SMAN 1 SILAT HULU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDB02E0A-A748-49A0-8519-6E6219B25403,JL. MERDEKA 31 NANGA DANGKAN Nanga Dangkan Ii Kec. Silat Hulu Kab. Kapuas Hulu Prov. Kalimantan Barat,Kab. Kapuas Hulu,,Kalimantan Barat
40102403,SMAS ADVENT TANAH PUTIH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89D267D5-4C85-48CC-9541-6E683231AEAF,JL. RAYA TANAH PUTIH Tanah Putih Kec. Likupang Barat Kab. Minahasa Utara Prov. Sulawesi Utara,Kab. Minahasa Utara,,Sulawesi Utara
20223063,SMAS IT YAPIDH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AAFCEE9-D581-4556-96D2-6E6A312D6622,JL. KOMSEN KRANGGAN KM.3 JATILUHUR JATIA... Jatiluhur Kec. Jatiasih Kota Bekasi Prov. Jawa Barat,,Kota Bekasi,Jawa Barat
69851856,SMA NEGERI 1 MAU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/11B83EB8-4C55-4CD7-B06D-6E6ADCD58D91,DESA ATUALUO Atualuo Kec. Mau Kab. Nias Prov. Sumatera Utara,Kab. Nias,,Sumatera Utara
70050666,SMA NEGERI 1 SEI MENGGARIS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D3A68435-D885-4311-9DA9-6E6B689B9836,Jalan Trans Kalimantan Sekaduyan Taka Kec. Sei Menggaris Kab. Nunukan Prov. Kalimantan Utara,Kab. Nunukan,,Kalimantan Utara
20223025,SMAS TULUS BHAKTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CF58094-66A0-45BA-8A71-6E7359375EC9,JL. SWANTANTRA 2 NO.7 Jatiasih Kec. Jatiasih Kota Bekasi Prov. Jawa Barat,,Kota Bekasi,Jawa Barat
