kode,nama,link_profil,alamat,kabupaten,kota,provinsi
10308287,SMAN 12 SIJUNJUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04DA9599-D92F-4131-AF2E-F070F0EFD60F,LUBUK TAROK LUBUK TAROK Kec. Lubuk Tarok Kab. Sijunjung Prov. Sumatera Barat,Kab. Sijunjung,,Sumatera Barat
30107410,SMAN 1 TERENTANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4A33C92-E413-446D-BDC1-F0749692D6ED,JL. PENDIDIKAN Terentang Hilir Kec. Terentang Kab. Kubu Raya Prov. Kalimantan Barat,Kab. Kubu Raya,,Kalimantan Barat
69786206,SMAS DARUL AKHLAQ,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0020C2F6-4D62-4EEB-87E6-F080BF37CB3E,Dusun Kramat Ambulu Kec. Sumberasih Kab. Probolinggo Prov. Jawa Timur,Kab. Probolinggo,,Jawa Timur
70052750,SMA PLUS MUALIMIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/53F7FC0E-13A4-4D6E-BFEC-F0840F66DA09,Kp. Ciputri RT.002 RW.008 Langensari Kec. Lembang Kab. Bandung Barat Prov. Jawa Barat,Kab. Bandung Barat,,Jawa Barat
69939616,SMA NEGERI 2 PANTE BIDARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C2AFDD7-9DE5-4039-84E6-F085F1CB8CCA,JL. DESA BLANG SEUNONG Blang Seunong Kec. Pante Beudari Kab. Aceh Timur Prov. Aceh,Kab. Aceh Timur,,Aceh
70028686,SMA BINA INSAN MANDIRI AL-MASRUR KENDARI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF677B80-D6B8-4C63-8D92-F08F49C7337E,Jl. Subsidi II Anggilowu Kec. Mandonga Kota Kendari Prov. Sulawesi Tenggara,,Kota Kendari,Sulawesi Tenggara
40305064,SMAN 3 PINRANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C2418D48-35EB-495B-9150-F0900C42A2D7,JL. POROS PINRANG LANGNGA Patobong Kec. Mattiro Sompe Kab. Pinrang Prov. Sulawesi Selatan,Kab. Pinrang,,Sulawesi Selatan
60404140,SMA Negeri 14 Raja Ampat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1F379BD0-676F-4215-BF10-F09A45597A12,PERUM 200 MOKO Bonwakir Kec. Kota Waisai Kab. Raja Ampat Prov. Papua Barat Daya,Kab. Raja Ampat,,Papua Barat Daya
60102023,SMAS ANGKASA PATTIMURA AMBON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49D093E0-4872-4663-8038-F09FCEC33317,JL. ELANG NO. 11 LANUD PATTIMURA Laha Kec. Teluk Ambon Kota Ambon Prov. Maluku,,Kota Ambon,Maluku
69947172,SMA ISLAM TERPADU HARAPAN UMAT KARAWANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E93F1083-82FB-49A5-B651-F0A076579D3B,Jl Pakuncen No 01 RT 01 RW 06 Sukaharja Kec. Teluk Jambe Timur Kab. Karawang Prov. Jawa Barat,Kab. Karawang,,Jawa Barat
10212446,SMAN 6 TANJUNGBALAI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51B79BD8-671E-4B74-A222-F0A1376BD306,JL. ANGGUR Sijambi Kec. Datuk Bandar Kota Tanjung Balai Prov. Sumatera Utara,,Kota Tanjung Balai,Sumatera Utara
20326484,SMAS WALISONGO KETANGGUNGAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72765064-E336-404A-8398-F0A59C82ACC3,JL. JEND. SUDIRMAN NO. 87 KETANGGUNGAN Ketanggungan Kec. Ketanggungan Kab. Brebes Prov. Jawa Tengah,Kab. Brebes,,Jawa Tengah
20551981,SMAS DARUL KHOLIL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8383B3E4-EB34-4A3D-90D0-F0A993ABB067,"JL, KALI MODERN TUNJUNG 11 Tonjung Kec. Burneh Kab. Bangkalan Prov. Jawa Timur",Kab. Bangkalan,,Jawa Timur
20100631,SMAS KATOLIK DIAKONIA JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE6DF9C5-0454-4CDD-967E-F0B003E3C80E,JL.PLUIT UTARA RAYA NO. 2 Pluit Kec. Penjaringan Kota Adm. Jakarta Utara Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Utara,D.K.I. Jakarta
10648898,SMAN 1 KISAM ILIR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/089F4A91-D1B4-4EFB-A5DF-F0B3F1ABA2AD,Jl. Raya Muaradua Kisam Simpang Campang Kec. Kisam Ilir Kab. Ogan Komering Ulu Selatan Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,,Sumatera Selatan
20109180,SMAS MARIE JOSEPH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07F47C24-BCA0-42A7-A6BF-F0B4BEFF2450,JL PUSPA GADING I BLOK H2 No.10-12 Pegan... Pegangsaan Dua Kec. Kelapa Gading Kota Adm. Jakarta Utara Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Utara,D.K.I. Jakarta
