kode,nama,link_profil,alamat,kabupaten,kota,provinsi
69862587,SMAN BOLAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAC35F8E-C3A7-48A7-862C-C0B104E96AE5,DEBURAIMUTIK Fahiluka Kec. Malaka Tengah Kab. Malaka Prov. Nusa Tenggara Timur,Kab. Malaka,,Nusa Tenggara Timur
50219629,SMA PERIGI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD479460-EB74-4813-BD49-C0B1F0876C04,Jln.Budaya Limbungan Desa Perigi Perigi Kec. Suela Kab. Lombok Timur Prov. Nusa Tenggara Barat,Kab. Lombok Timur,,Nusa Tenggara Barat
69946815,SMA ISLAM NURUL ILMI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FA0E858F-A51E-4379-BDDB-C0B68EAE5FA1,ULU ALLA Rappolemba Kec. Tompobulu Kab. Gowa Prov. Sulawesi Selatan,Kab. Gowa,,Sulawesi Selatan
30400221,SMA NEGERI 2 MARANG KAYU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C2487509-91B5-406B-AA46-C0B7F7B1EB57,"JL. KH. Abdullah Noor, RT. 03 Dusun Hand... Santan Ilir Kec. Marang Kayu Kab. Kutai Kartanegara Prov. Kalimantan Timur",Kab. Kutai Kartanegara,,Kalimantan Timur
20331895,SMA AL ISLAM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/160363A8-B744-412A-B7F5-C0BA5ABDF51F,Bangetayu Wetan Bangetayu Wetan Kec. Genuk Kota Semarang Prov. Jawa Tengah,,Kota Semarang,Jawa Tengah
20532142,SMAS KERTAJAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/810F7305-AC67-4176-B390-C0C2B2914749,JL. JUWINGAN NO. 1 B Kertajaya Kec. Gubeng Kota Surabaya Prov. Jawa Timur,,Kota Surabaya,Jawa Timur
70011541,SMA NURUSSIBYAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC8A1A52-AC1B-421A-AA19-C0C4E9CF259E,Dasan Sebelek Desa Labulia Kec. Jonggat ... Labulia Kec. Jonggat Kab. Lombok Tengah Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,,Nusa Tenggara Barat
20517837,SMAS ISLAM KEPANJEN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB845267-8DE6-4E6F-83C4-C0C851578DDE,JL. DIPONEGORO NO.152 ARDIREJO Ardirejo Kec. Kepanjen Kab. Malang Prov. Jawa Timur,Kab. Malang,,Jawa Timur
40313258,SMAS MUHAMMADIYAH 9 MAKASSAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/305DC0D5-7F08-48BB-8CE2-C0D269E26308,JL. BORA DG. NGIRATE NO 22 Bonto Makkio Kec. Rappocini Kota Makassar Prov. Sulawesi Selatan,,Kota Makassar,Sulawesi Selatan
60105446,SMAS MUHAMMADIYAH TUAL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/738F943A-D6C7-4104-9F77-C0D4E4BB9941,JL. KH. AHMAD DAHLAN FIDITAN TUAL Fiditan Kec. Pulau Dullah Utara Kota Tual Prov. Maluku,,Kota Tual,Maluku
