kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20404172,SMAS MA ARIF YOGYAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E1333563-72EC-4D3B-915F-5392D09F763B,JL. DAGEN GT I /.509 Sosromenduran Kec. Gedongtengen Kota Yogyakarta Prov. D.I. Yogyakarta,,Kota Yogyakarta,D.I. Yogyakarta
20220343,SMAS REGINA PACIS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/339D305A-DF2D-49AC-AAAD-539610AC8DDC,JL. IR HJ. JUANDA NO. 2 Pabaton Kec. Kota Bogor Tengah Kota Bogor Prov. Jawa Barat,,Kota Bogor,Jawa Barat
20103286,SMAN 113 JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C887BC3-F8F5-45B5-8493-539916F310C4,JL. ALBAIDHO I/MONUMEN PANCASILA SAKTI Lubang Buaya Kec. Cipayung Kota Adm. Jakarta Timur Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Timur,D.K.I. Jakarta
20228503,SMA IT DANUL FALAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E6A80E24-E0B6-4128-B3B8-539FDC541780,JL RAYA PINTU CISANGKUY WETAN PANGALENGA... Margamekar Kec. Pangalengan Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
69958905,SMAN 10 HALMAHERA TIMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C8D700F6-5A23-421C-A7DB-53A0BE518888,Jl. Poros Desa Dodaga Dodaga Kec. Wasile Timur Kab. Halmahera Timur Prov. Maluku Utara,Kab. Halmahera Timur,,Maluku Utara
10303506,SMAN 9 PADANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4BBBA823-BB5D-4792-A1DA-53A168A9C84C,JL. PASAR BARU Cupak Tangah Kec. Pauh Kota Padang Prov. Sumatera Barat,,Kota Padang,Sumatera Barat
10210816,SMAS AL BUKHARI MUSLIM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FFC9D7CB-DA9E-429C-A360-53A1AEDE5761,JL. SRIWIJAYA NO. 57 Petisah Hulu Kec. Medan Baru Kota Medan Prov. Sumatera Utara,,Kota Medan,Sumatera Utara
10505373,SMAN 3 MERANGIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16B881E0-D337-4508-B557-53A86D67B1AF,JL. BELIAK MATA HITAM ULU III MUARA DELA... Muara Delang Kec. Tabir Selatan Kab.  Merangin Prov. Jambi,Kab.  Merangin,,Jambi
10609697,SMA TRI DHARMA PALEMBANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BBF02696-197B-4514-A9A1-53A934703012,JL JAKSA AGUNG R. SOEPRAPTO PALEMBANG 30 Ilir Kec. Ilir Barat II Kota Palembang Prov. Sumatera Selatan,,Kota Palembang,Sumatera Selatan
20265518,SMAS ALFA CENTAURI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A5F8601-EFC1-4175-A75E-53AB2747A457,JL. Diponegoro No. 48 Citarum Kec. Bandung Wetan Kota Bandung Prov. Jawa Barat,,Kota Bandung,Jawa Barat
20539029,SMA NEGERI 1 SOKO TUBAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/027183CE-D709-465D-B044-53ACF4FE1D06,JL RAYA DESA MENTORO SOKO Mentoro Kec. Soko Kab. Tuban Prov. Jawa Timur,Kab. Tuban,,Jawa Timur
