kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20329772,SMAS AL IRSYAD TEGAL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2996F63-B3B6-4955-94E2-CE50B7F53052,JL. GAJAH MADA NO. 128 Pekauman Kec. Tegal Barat Kota Tegal Prov. Jawa Tengah,,Kota Tegal,Jawa Tengah
40601311,UPTD SMAN 2 MAJENE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4656169D-3701-429A-B4C7-CE53A89F8AC4,JL. CHAIRIL ANWAR NO.3 LEMBANG Kec. Banggae Timur Kab. Majene Prov. Sulawesi Barat,Kab. Majene,,Sulawesi Barat
20403157,SMAS MUHAMMADIYAH 1 YOGYAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D343CA3-646B-43B4-93E2-CE591F330F5E,Jl. Gotongroyong II Petinggen Karangwaru Kec. Tegalrejo Kota Yogyakarta Prov. D.I. Yogyakarta,,Kota Yogyakarta,D.I. Yogyakarta
69964281,SMA NEGERI 1 KUALA CENAKU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D7B0E16-F88A-41D5-81C7-CE5CB511A8BF,Desa Teluk Sungkai Teluk Sungkai Kec. Kuala Cenaku Kab. Indragiri Hulu Prov. Riau,Kab. Indragiri Hulu,,Riau
50201384,SMAN 2 PRAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B517EBCB-4930-4AD3-8111-CE5E81A8C679,Jln. Pejanggik Tampar Ampar Kec. Praya K... Semayan Kec. Praya Kab. Lombok Tengah Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,,Nusa Tenggara Barat
20311312,SMAS PANCASILA 2 BATURETNO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEE07CF2-459C-4111-BC48-CE61443D0B75,"JL. SIDOMUKTI, BATURETNO Baturetno Kec. Baturetno Kab. Wonogiri Prov. Jawa Tengah",Kab. Wonogiri,,Jawa Tengah
40204016,SMAN 1 TINANGKUNG SELATAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1354282D-2F3D-4939-BAE1-CE6EFEC4C362,Jl. Trans Peling No. 01 Mansamat A Kec. Tinangkung Selatan Kab. Banggai Kepulauan Prov. Sulawesi Tengah,Kab. Banggai Kepulauan,,Sulawesi Tengah
30400382,SMAN 1 BERAU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/57CD6F44-D7FE-4BBA-A341-CE710A7EC866,JL. MANGGA 1 NO.14 Tanjung Redeb Kec. Tanjung Redeb Kab. Berau Prov. Kalimantan Timur,Kab. Berau,,Kalimantan Timur
70045667,SMA LABORATORIUM PERCONTOHAN UPI CIBIRU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B132C83D-0C8E-4092-814F-CE7523599825,Jl. Raya Cibiru No. 15 RT.01 RW.16 Cibiru Wetan Kec. Cileunyi Kab. Bandung Prov. Jawa Barat,Kab. Bandung,,Jawa Barat
60200722,SMAN 2 KOTA TERNATE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A91B496C-544E-452C-A8C8-CE7532194C54,JL. UBO-UBO Ubo-Ubo Kec. Ternate Selatan Kota Ternate Prov. Maluku Utara,,Kota Ternate,Maluku Utara
