kode,nama,link_profil,alamat,kabupaten,kota,provinsi
70011819,SMA NEGERI BINONG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D034A666-48DB-415E-BBF9-C782BBA35996,Jl. Raya Binong No. 125 Binong Kec. Binong Kab. Subang Prov. Jawa Barat,Kab. Subang,,Jawa Barat
20603163,SMAS CENDERAWASIH II,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B28CD683-AD4C-4E1F-9E2A-C786B46DCE61,Komplek Deplu 74 Pondok Karya Kec. Pondok Aren Kota Tangerang Selatan Prov. Banten,,Kota Tangerang Selatan,Banten
69883641,SMA ISLAM BAITURRAHMAN MAHMUDI BEBUAK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C4787BFB-3C34-4DA5-B9D0-C78922428DE4,Desa Bebuak Kecamatan Kopang Kabupaten L... Bebuaq Kec. Kopang Kab. Lombok Tengah Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,,Nusa Tenggara Barat
10110903,SMA NEGERI 2 SIMEULUE BARAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F1ACC51-8AE7-480C-BEA6-C78C3C137F21,JL . NUSANTARA NO. 02 DESA SIGULAI KEC. ... Sigulai Kec. Simeulue Barat Kab. Simeulue Prov. Aceh,Kab. Simeulue,,Aceh
70055695,SMA AL ABIDIN BILINGUAL BOARDING SCHOOL (ABBS) SUKOHARJO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D674B2EA-98D9-4F34-A371-C7922B1C6E3D,Jalakan RT 02/03 Begajah Kec. Sukoharjo Kab. Sukoharjo Prov. Jawa Tengah,Kab. Sukoharjo,,Jawa Tengah
20338919,SMA NEGERI 1 KANDANGSERANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/008A23C7-AF1A-482D-B070-C79BFCCB0869,Jl. Raya Kandangserang Kandangserang Kec. Kandangserang Kab. Pekalongan Prov. Jawa Tengah,Kab. Pekalongan,,Jawa Tengah
20600440,SMAS ISLAM PAGELARAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/071C2491-D69C-4145-80EF-C79E3273E68D,JL. RAYA PAGELARAN KM. 4 CIPUTRI Pagelaran Kec. Pagelaran Kab. Pandeglang Prov. Banten,Kab. Pandeglang,,Banten
10809855,SMAN 2 TUMIJAJAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C14E5F7B-97A2-4B03-826F-C79FF1D002DD,Jln. Ki Hadjar Dewantara No 24 Margo Mulyo Kec. Tumijajar Kab. Tulang Bawang Barat Prov. Lampung,Kab. Tulang Bawang Barat,,Lampung
20584069,SMAS PLUS NURUL FALAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/522002D5-6CB8-42B1-8410-C7A291599159,Jl. Pontren Nurul Falah Batubintang Batubintang Kec. Batu Marmar Kab. Pamekasan Prov. Jawa Timur,Kab. Pamekasan,,Jawa Timur
70041412,SMA ADVENT SUPIORI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/499242A3-444C-4BA5-8FA5-C7A470448330,Kampung Wafor Wafor Kec. Supiori Timur Kab. Supiori Prov. Papua,Kab. Supiori,,Papua
60201924,SMAS MUHAMMADIYAH GALELA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADEE7A9D-61EA-4837-985F-C7B4792DD4A6,Jl. Kapita Simon Towara Kec. Galela Kab. halmahera Utara Prov. Maluku Utara,Kab. halmahera Utara,,Maluku Utara
20510147,SMAN 2 PONOROGO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E034166D-9830-4AA8-B948-C7C93D1427A9,JL. PACAR 24 Tonatan Kec. Ponorogo Kab. Ponorogo Prov. Jawa Timur,Kab. Ponorogo,,Jawa Timur
10814928,SMAN 1 SRAGI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8605AFDA-6DFF-44C2-B0CD-C7CC808358EE,JL. LAPANGAN JATI Mandalasari Kec. Sragi Kab. Lampung Selatan Prov. Lampung,Kab. Lampung Selatan,,Lampung
30102526,SMAS IMMANUEL SINTANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B3F3B081-37EA-4446-909F-C7DBBFF943ED,JL. TELUK MENYURAI RT. 003 RW 008 Tanjung Puri Kec. Sintang Kab. Sintang Prov. Kalimantan Barat,Kab. Sintang,,Kalimantan Barat
40204252,SMAN 1 TINOMBO SELATAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A9FEFFC-B8EA-4EFE-B38B-C7E21E07DE14,JL.TRANS SULAWESI LR. DANAU ALAGUT Maninili Kec. Tinombo Selatan Kab. Parigi Moutong Prov. Sulawesi Tengah,Kab. Parigi Moutong,,Sulawesi Tengah
69921972,SMAN 2 SUNGAI BEMBAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97FD87C7-5E48-4FEC-AC13-C7E44AC4F6EF,JL. Setia Harapan Sei Bemban Kec. Kubu Kab. Kubu Raya Prov. Kalimantan Barat,Kab. Kubu Raya,,Kalimantan Barat
10405547,SMAN 2 BAGAN SINEMBAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/352FF018-A727-49A5-B78E-C7EA02ADA9CD,JL. GARUDA Pelita Kec. Bagan Sinembah Kab.  Rokan Hilir Prov. Riau,Kab.  Rokan Hilir,,Riau
50205210,SMAS DARUL MAHMUDIEN MT GAMANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF91B8FC-CF22-47EF-A8A2-C7EC2B6E117F,Jln. Pendidikan No. 07 Montong Gamang Montong Gamang Kec. Kopang Kab. Lombok Tengah Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,,Nusa Tenggara Barat
40401162,SMAN 1 SIOTAPINA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/314C5BCF-B9D9-4A66-885B-C7EDCF31274F,Jln. Poros Pasarwajo-Kamaru Km. 25 Matanauwe Kec. Siontapia Kab. Buton Prov. Sulawesi Tenggara,Kab. Buton,,Sulawesi Tenggara
10110281,SMA NEGERI 1 BLANGJERANGO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F657523-9655-4108-856F-C7F7ABC28FCE,JL. Dusun Comex No. 03 Desa Penosan Keca... Penosan Kec. Blangjerango Kab. Gayo Lues Prov. Aceh,Kab. Gayo Lues,,Aceh
10505652,SMAN 3 SAROLANGUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A73ABE0-B9E1-4FD6-9098-C7FAE2BEEAD3,JLN. SAROLANGUN -TEMBESI KM 2 PAUH Pauh Kec. Pauh Kab. Sarolangun Prov. Jambi,Kab. Sarolangun,,Jambi
69892374,SMA ISLAM TERPADU BINTANG SEMBILAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50FD4E7A-EA06-4718-8112-C7FF5F5E0A0D,JALAN JURUSAN TANJUNG-POHGADING GERES Kec. Labuhan Haji Kab. Lombok Timur Prov. Nusa Tenggara Barat,Kab. Lombok Timur,,Nusa Tenggara Barat
69907243,SMA Alfalakhussaadah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1FF87176-F6CD-465C-8990-C806E7B2316E,Kampung Tanjung Serupa Kecamatan Pakuan ... Tanjung Serupa Kec. Pakuan Ratu Kab. Way Kanan Prov. Lampung,Kab. Way Kanan,,Lampung
70010137,SMA Kristen  IPEKA Balikpapan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94E897EF-D988-48D1-8BFA-C8089B9FAA4D,Jl. Sinar Mas Land Boulevard Kompleks Gr... GRAHA INDAH Kec. Balikpapan Utara Kota Balikpapan Prov. Kalimantan Timur,,Kota Balikpapan,Kalimantan Timur
40101432,SMAS PETRA SAWANG JAUH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED278021-A735-480D-B06F-C80A89D90249,MOHONG SAWANG Mohongsawang Kec. Kendahe Kab. Kepulauan Sangihe Prov. Sulawesi Utara,Kab. Kepulauan Sangihe,,Sulawesi Utara
50202412,SMAN 1 MASBAGIK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA07B450-0A33-44C9-A2E9-C8103C5A742D,JL. RAYA MASBAGIK SELATAN Masbagik Selatan Kec. Masbagik Kab. Lombok Timur Prov. Nusa Tenggara Barat,Kab. Lombok Timur,,Nusa Tenggara Barat
60102247,SMAS NAMBUASA TULEHU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16D1EE3B-F574-44F9-887A-C810C53E273F,JL. RAYA TULEHU KM. 25 Tulehu Kec. Salahutu Kab. Maluku Tengah Prov. Maluku,Kab. Maluku Tengah,,Maluku
50202501,SMAN 1 WANASABA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6904E52B-6306-4C8F-B9AB-C81195763851,"JLN. RAYA MATARAM, LABUHAN LOMBOK Wanasaba Kec. Wanasaba Kab. Lombok Timur Prov. Nusa Tenggara Barat",Kab. Lombok Timur,,Nusa Tenggara Barat
69939938,SMA SWASTA AS SUNNAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/905F828A-8A47-4E14-9013-C81445D5BA17,Jalan Panteu Breuh - Ulee Rubek Dusun Tg... Matang Lada Kec. Seunuddon Kab. Aceh Utara Prov. Aceh,Kab. Aceh Utara,,Aceh
40103171,SMAS KOSGORO TOMOHON,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B6C5623-7049-4EF9-8966-C822C5DE474A,KOTA TOMOHON TUMATANGTANG SATU Kec. Tomohon Selatan Kota Tomohon Prov. Sulawesi Utara,,Kota Tomohon,Sulawesi Utara
10220891,SMAS TUNAS BANGSA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7292B2A6-7034-4947-BB7E-C82881AA51BF,Jl. S. Parman No. 6 Kwala Begumit Kwala Begumit Kec. Binjai Kab. Langkat Prov. Sumatera Utara,Kab. Langkat,,Sumatera Utara
20220349,SMAS YASIH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/93F503D2-AE3D-445C-8FAF-C84014C71CF7,JL. BARANANGSIANG INDAH CIKEAS Katulampa Kec. Kota Bogor Timur Kota Bogor Prov. Jawa Barat,,Kota Bogor,Jawa Barat
20100809,SMAN 18 JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7544C54-2466-4C3C-9ED1-C841FBE37E39,JL. WARAKAS 1 TANJUNG PRIOK Warakas Kec. Tanjung Priok Kota Adm. Jakarta Utara Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Utara,D.K.I. Jakarta
20532236,SMAN 16 SURABAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A397E1B-CCAA-484D-8C1B-C8477FD1F8A1,JL.  PRAPEN Panjang Jiwo Kec. Tenggilis Mejoyo Kota Surabaya Prov. Jawa Timur,,Kota Surabaya,Jawa Timur
70047598,SMA Alkairaat Lado,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB65EB61-70BB-4888-BF5B-C847AA265AE6,Desa Lado Lado Kec. Sidoan Kab. Parigi Moutong Prov. Sulawesi Tengah,Kab. Parigi Moutong,,Sulawesi Tengah
69946512,SMA PLUS SINGAJAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AD5A7D1-09E8-48FD-B3E9-C84FC813820F,Kp. Cijungklang RT 01 RW 08 Girimukti Kec. Singajaya Kab. Garut Prov. Jawa Barat,Kab. Garut,,Jawa Barat
20216942,SMAN 1 KALIJATI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AC1F1FD-07FE-4B09-A05F-C85513B2A477,JL. RAYA TANGGULUN BARAT NO. 1 Tanggulun Barat Kec. Kalijati Kab. Subang Prov. Jawa Barat,Kab. Subang,,Jawa Barat
69976631,SMA NURUL HUDA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/92E142F4-4CF2-4D65-9303-C856CDDD6D12,TANJUNG PASIR Kuala Mandor A Kec. Kuala Mandor B Kab. Kubu Raya Prov. Kalimantan Barat,Kab. Kubu Raya,,Kalimantan Barat
50101133,SMA Negeri 1 Pupuan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6075DADF-245B-4918-8FF5-C858A59002F4,JL. JURUSAN GUNUNG BATUKARU Pujungan Kec. Pupuan Kab. Tabanan Prov. Bali,Kab. Tabanan,,Bali
70051608,SMA Swasta IT Raudhatul Ulum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E1FDE5D-5674-4B19-80DC-C85B50BF7964,Jln. Abu Hamid Arongan Ceureucok Kec. Simpang Mamplam Kab. Bireuen Prov. Aceh,Kab. Bireuen,,Aceh
20218354,SMAN 1 PEBAYURAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F64065CA-7A26-4B94-B8DC-C86138E229E3,JL. RAYA PEBAYURAN KABUPATEN BEKASI Kertasari Kec. Pebayuran Kab. Bekasi Prov. Jawa Barat,Kab. Bekasi,,Jawa Barat
10805043,SMAS XAVERIUS PRINGSEWU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5D75472-D113-4ABF-8B6B-C8640948F05D,JL. MAWAR I NO. 32 Pringsewu Timur Kec. Pringsewu Kab. Pringsewu Prov. Lampung,Kab. Pringsewu,,Lampung
20319288,SMAS MUHAMMADIYAH 1 DEMAK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A9BB964-F6F0-42EE-A17C-C86449F414F4,JALAN KYAI JEBAT NO. 9 DEMAK Bintoro Kec. Demak Kab. Demak Prov. Jawa Tengah,Kab. Demak,,Jawa Tengah
20528663,SMAN 1 KEDUNGDUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19BCB211-7B97-46B8-8ADD-C864A477056D,JL. RAYA KEDUNGDUNG Kedungdung Kec. Kedungdung Kab. Sampang Prov. Jawa Timur,Kab. Sampang,,Jawa Timur
69727090,SMAN 14 TANJUNG JABUNG  BARAT,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54DA8BE6-5079-4C89-A3B2-C86763230B32,JL. LINTAS KUALA TUNGKAL - PULAU KIJANG ... Pasar Senin Kec. Pengabuan Kab. Tanjung Jabung Barat Prov. Jambi,Kab. Tanjung Jabung Barat,,Jambi
60401961,SMAN 1 BINTUNI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C95CD02-5420-4F81-B327-C867AE4CBBAB,"Jl. Raya Bintuni, KM. 5 Wesiri - Bintuni... Bintuni Barat Kec. Bintuni Kab. Teluk Bintuni Prov. Papua Barat",Kab. Teluk Bintuni,,Papua Barat
20532112,SMAS WIDYA DARMA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/199CD3EE-640E-4F3F-9C21-C867E3369A80,JL. KETINTANG NO.147-151 SURABAYA Wonokromo Kec. Wonokromo Kota Surabaya Prov. Jawa Timur,,Kota Surabaya,Jawa Timur
40102633,SMAS PERTIWI MANADO,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/108D9512-3C58-4ADA-A8E6-C871AB6E19A7,JL. YOS SUDARSO Tikala Baru Kec. Tikala Kota Manado Prov. Sulawesi Utara,,Kota Manado,Sulawesi Utara
69972549,SMA ISLAM TERPADU AL FATH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B77C25D5-A643-4E01-BC81-C87C1962EA15,Jl. Merbabu Perum Gading Kencana Asri Karang Tengah Kec. Gunung Puyuh Kota Sukabumi Prov. Jawa Barat,,Kota Sukabumi,Jawa Barat
10604719,SMAS MUHAMMADIYAH TANJUNG LENGKAYAP,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB898B0F-E04B-4672-8114-C87CBCCD26A0,DESA TANJUNG LENGKAYAP KEC. LENGKITI Tanjung Lengkayap Kec. Lengkiti Kab. Ogan Komering Ulu Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,,Sumatera Selatan
70051634,SMA RAHMATAN LIL ALAMIN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5566549-FA21-490A-A319-C8820AE307F8,Jl. Bangko – Sungai Manau KM.6 Kungkai Kungkai Kec. Bangko Kab.  Merangin Prov. Jambi,Kab.  Merangin,,Jambi
20244679,SMAS YAKPI SUSUKAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DEDB2229-0E11-4D59-BE55-C886C270DCB5,JL. KH. BUNYAMIN NO. 03 Susukan Kec. Susukan Kab. Cirebon Prov. Jawa Barat,Kab. Cirebon,,Jawa Barat
