kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20606844,SMAS YISLAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/25ECD65F-AF07-4719-8FA1-232DB95DDB89,JL. AL HIDAYAH Sangiang Jaya Kec. Periuk Kota Tangerang Prov. Banten,,Kota Tangerang,Banten
69969278,SMAN 1 JAMANIS,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/98A64517-34BB-4C69-9E83-23310C42858A,Jl. Cisinga Kp. Gereba Kidul RT 01 RW 02 Karangresik Kec. Jamanis Kab. Tasikmalaya Prov. Jawa Barat,Kab. Tasikmalaya,,Jawa Barat
40400765,SMA NEGERI 1 KABANGKA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA8949E0-FAA0-44F1-80AE-2334878D3FC7,JL. POROS LUPIA-WAKOBALU AGUNG Lupia Kec. Kabangka Kab. Muna Prov. Sulawesi Tenggara,Kab. Muna,,Sulawesi Tenggara
69987038,SMAN 3 Blambangan Umpu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9709FC53-65FE-4B0E-9236-233A68751353,Jl. Inpres No.140 Umpu Kencana Kec. Blambangan Umpu Kab. Way Kanan Prov. Lampung,Kab. Way Kanan,,Lampung
11000360,SMAN 1 BATAM,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB41F3A5-6380-475E-93D9-233EBAF42C16,JL. R. SOEPRAPTO Sungai Harapan Kec. Sekupang Kota Batam Prov. Kepulauan Riau,,Kota Batam,Kepulauan Riau
69965459,SMA DARUL KAROMAH PASURUAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E984CB0B-BA49-4E58-9242-23426C6292C3,Jl. Letjen Sutoyo no. 41 Mandaranrejo Pa... Mandaranrejo Kec. Panggungrejo Kota Pasuruan Prov. Jawa Timur,,Kota Pasuruan,Jawa Timur
70045489,SMA BOARDING SCHOOL NAQWA AL HASANAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AFA642EC-A4D1-4D8C-88AC-2345744DD752,Kp. Karanganyar RT. 04 RW. 06 Mandalamukti Kec. Cikalongwetan Kab. Bandung Barat Prov. Jawa Barat,Kab. Bandung Barat,,Jawa Barat
60100161,SMA Negeri 4 Maluku Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9C09DD6B-BD09-4124-A1DA-234F447348ED,"Jalan Banda No. 28, Telp, (0914) 21050 M... Namaelo Kec. Masohi Kab. Maluku Tengah Prov. Maluku",Kab. Maluku Tengah,,Maluku
20613552,SMAN 8 Kota Tangerang Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/92532B22-FEE7-428F-8555-23522FDD3026,Jl.Cireundeu Raya No.5 Cireundeu Kec. Ciputat Timur Kota Tangerang Selatan Prov. Banten,,Kota Tangerang Selatan,Banten
50203309,SMAN 1 PLAMPANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45C8CACE-34EA-46D0-B1A7-2352F8627734,JL. RAYA SUMBAWA BESAR - PLAMPANG KM. 61 Sepakat Kec. Plampang Kab. Sumbawa Prov. Nusa Tenggara Barat,Kab. Sumbawa,,Nusa Tenggara Barat
