kode,nama,link_profil,alamat,kabupaten,kota,provinsi
20276140,SMAS AL-MADINAH CIBATU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4895FF00-6BB4-4E1B-8E6D-EA10F99DCCAB,JL. SALAM- CIBATU RW 05 Cibunar Kec. Cibatu Kab. Garut Prov. Jawa Barat,Kab. Garut,,Jawa Barat
40203511,SMAS PGRI 1 PALU,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB269CFD-45A5-4914-B2F8-EA11BF6621EB,JL. MALINO NO. 118 Ujuna Kec. Palu Barat Kota Palu Prov. Sulawesi Tengah,,Kota Palu,Sulawesi Tengah
10101193,SMA NEGERI 1 TANAH JAMBO AYE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CA20620E-7719-4D78-9C23-EA17B91702A3,JL. JAMBO AYE PANTON LABU Mns Panton Labu Kec. Tanah Jambo Aye Kab. Aceh Utara Prov. Aceh,Kab. Aceh Utara,,Aceh
10105622,SMA NEGERI 4 LHOKSEUMAWE,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A42B1F27-48D4-4260-8262-EA1BDA51FC67,JL. SP. KEURAMAT DESA COT GIREK Cot Girek Kec. Muara Dua Kota Lhokseumawe Prov. Aceh,,Kota Lhokseumawe,Aceh
70037316,SMA HARVEST CHRISTIAN SCHOOL,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC8D2BCA-D4A8-4588-A741-EA1CAA4E0A15,Jl. Gunung Rinjani. No. 06 Desa/Keluraha... Bencongan Kec. Kelapa Dua Kab. Tangerang Prov. Banten,Kab. Tangerang,,Banten
20328925,SMA KRISTEN YSKI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74843DA1-174E-4985-8852-EA1E1089335B,JL. SIDODADI TIMUR NO. 23 Karangtempel Kec. Semarang Timur Kota Semarang Prov. Jawa Tengah,,Kota Semarang,Jawa Tengah
10810670,SMAS AL HIDAYAH WAY SEPUTIH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D99F5AF8-7172-45A0-B16D-EA27CAB161A7,JL. LINTAS TIMUR SIMP. RANDU Sido Binangun Kec. Way Seputih Kab. Lampung Tengah Prov. Lampung,Kab. Lampung Tengah,,Lampung
40300286,SMAS PGRI BANTIMURUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E3791DB2-817D-4BA9-9090-EA285175F6B2,JL. POROS BANTIMURUNG Kalabbirang Kec. Bantimurung Kab. Maros Prov. Sulawesi Selatan,Kab. Maros,,Sulawesi Selatan
69943853,SMA NEGERI 5 HINGK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB489AD0-5420-485B-987A-EA2DD74DCBD1,Jalan Poros Hingk Nungkimor Kec. Hingk Kab. Pegunungan Arfak Prov. Papua Barat,Kab. Pegunungan Arfak,,Papua Barat
60729185,SMAS DHARMA BAKTI DAMPARAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ABFB15A6-15B6-46B4-A2BD-EA2ECA762F6A,Jl. Patianom RT 009 RW 05 Damparan Kec. Dusun Hilir Kab. Barito Selatan Prov. Kalimantan Tengah,Kab. Barito Selatan,,Kalimantan Tengah
