kode,nama,link_profil,alamat,kabupaten,kota,provinsi
50203310,SMAN 1 SUMBAWA BESAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5430F81-8443-46BC-8326-611754042911,JL. GARUDA NO. 1 SUMBAWA  BESAR Bugis Kec. Sumbawa Kab. Sumbawa Prov. Nusa Tenggara Barat,Kab. Sumbawa,,Nusa Tenggara Barat
10400866,SMAS KURNIA JAYA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89A98F98-FBD9-4C21-A5AC-611CD3092E59,JL.PELAJAR Pangkalan Nyirih Kec. Rupat Kab. Bengkalis Prov. Riau,Kab. Bengkalis,,Riau
10645758,SMAN 2 KIKIM TIMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4522B49B-59C0-40E3-BC59-611D0184ED44,Jln. Trans Bumi Lampung Linggar Jaya Kec. Kikim Timur Kab. Lahat Prov. Sumatera Selatan,Kab. Lahat,,Sumatera Selatan
20215022,SMAS NASRUL ULUM GEGESIK,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7B3761B2-2DD9-4FB3-B021-612642D5570A,JL. RAYA JAGAPURA GEGESIK Jagapura Kulon Kec. Gegesik Kab. Cirebon Prov. Jawa Barat,Kab. Cirebon,,Jawa Barat
30400573,SMA NEGERI 1 LONG BAGUN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CEF0DAE4-DFBA-46E2-AE7A-6129837BBCBC,"JL. BANG JUK, DS. UJOH BILANG RT IX Ujoh Bilang KEC. LONG BAGUN Kab. Mahakam Ulu Prov. Kalimantan Timur",Kab. Mahakam Ulu,,Kalimantan Timur
40100321,SMA NEGERI 1 PINOLOSIAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/553CFC93-B3F7-465E-BE72-6129A42ECC2C,JL. SISWA Ilomata Kec. Pinolosian Kab. Bolaang Mongondow Selatan Prov. Sulawesi Utara,Kab. Bolaang Mongondow Selatan,,Sulawesi Utara
50303422,SMAS SETIA BAKTI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/284F6060-4C2E-4AB9-BA83-612FCDEB6B4F,JL. PELITA NO. 3 RUTENG Watu Kec. Langke Rembong Kab. Manggarai Prov. Nusa Tenggara Timur,Kab. Manggarai,,Nusa Tenggara Timur
20107331,SMAS SULUH JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8BF69B9-B13A-4771-98F1-613062BE3AEC,JL. PALAPA RAYA NO. 1 Pasar Minggu Kec. Pasar Minggu Kota Adm. Jakarta Selatan Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Selatan,D.K.I. Jakarta
20505007,SMA NEGERI 3 TUBAN,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5DDFCA2-9C13-4F10-9D4F-613201731B6D,JL. MANUNGGAL 14 GEDONGOMBO SEMANDING Gedongombo Kec. Semanding Kab. Tuban Prov. Jawa Timur,Kab. Tuban,,Jawa Timur
50304946,SMAN 6 KUPANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F746BB59-1FEB-4E05-97AC-61382BE518BE,Jl. H.R KOROH Sikumana Kec. Maulafa Kota Kupang Prov. Nusa Tenggara Timur,,Kota Kupang,Nusa Tenggara Timur
