kode,nama,link_profil,alamat,kabupaten,kota,provinsi
70029377,SMA IT AL-KAUTSAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CCE9961-9914-4133-894E-3E1EF3B26867,"Jl. Talas III, Gg. Labu IV Pondok Cabe Ilir Kec. Pamulang Kota Tangerang Selatan Prov. Banten",,Kota Tangerang Selatan,Banten
10261032,SMAN 1 TEBING SYAHBANDAR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90B20D17-9D69-4B13-9415-3E1FEB4ECAD9,JL. TEBING TINGGI - INDRAPURA DESA PAYA ... Paya Pasir Kec. Tebing Syahbandar Kab. Serdang Bedagai Prov. Sumatera Utara,Kab. Serdang Bedagai,,Sumatera Utara
10496886,SMAN 2 KAMPAR TIMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A91B9060-B3E7-4FB8-91B9-3E29DF3758F9,JL. CEMPAKA DESA PULAU BIRANDANG Pulau Birandang Kec. Kampa Kab. Kampar Prov. Riau,Kab. Kampar,,Riau
10805049,SMAN 2 KOTA AGUNG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB31461B-3880-4A0D-B2EE-3E2AB1E2AC81,JL. SOEKARNO HATTA NO. 2 KOMPLEK ISLAMIC... Kedamaian Kec. Kota Agung Kab. Tanggamus Prov. Lampung,Kab. Tanggamus,,Lampung
10600481,SMAN 1 SIRAH PULAU PADANG,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F37CAB33-C590-465E-8820-3E2C4B9F7BC4,JL. RAYA DESA BUNGIN TINGGI Bungin Tinggi Kec. Sirah Pulau Padang Kab. Ogan Komering Ilir Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,,Sumatera Selatan
69982228,SMA IT DARUN NIKMAH KOTARAJA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33998B3E-79A9-44AC-9C0E-3E2FDC3E40A1,Desa Kotaraja Kotaraja Kec. Sikur Kab. Lombok Timur Prov. Nusa Tenggara Barat,Kab. Lombok Timur,,Nusa Tenggara Barat
20246479,SMAS AZZAHIRIYAH,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A8E304F-136E-4354-A06A-3E34EC2F2539,KP. BALEKER RT01/03 DS. WARINGIN JAYA KD... Waringinjaya Kec. Kedung Waringin Kab. Bekasi Prov. Jawa Barat,Kab. Bekasi,,Jawa Barat
10504684,SMAN 1 KOTA JAMBI,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9A59CD6-8473-483E-B670-3E4203F460AD,JL. URIP SUMOHARJO NO. 15 Sungai Putri Kec. Danau Sipin Kota Jambi Prov. Jambi,,Kota Jambi,Jambi
10113243,SMA NEGERI 6 DARUL MAKMUR,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A72FFB2-C907-46A0-9094-3E434294D42C,Jln. PT. Socfindo Pulo Tengah Kec. Darul Makmur Kab. Nagan Raya Prov. Aceh,Kab. Nagan Raya,,Aceh
20107307,SMAS ISLAM AL-KHOLIDIN JAKARTA,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D59115B-6375-428E-BD8A-3E498D4458FC,Jalan Wijaya I Blok O Komp Masjid Syarif... Melawai Kec. Kebayoran Baru Kota Adm. Jakarta Selatan Prov. D.K.I. Jakarta,,Kota Adm. Jakarta Selatan,D.K.I. Jakarta
